Subject,Distance,Is_Let,Is_Num,Resp13,RT,Vis
1,5,0,1,0,2.2236,1
1,5,0,1,0,0.85001,1
1,6,0,1,0,1.1215,1
1,6,0,0,1,2.7625,4
1,6,0,0,0,2.7529,4
1,4,1,0,0,1.9278,4
1,2,1,0,0,0.92863,4
1,5,0,0,1,1.1799,4
1,5,1,0,0,0.86207,1
1,3,0,0,0,2.0689,4
1,1,0,1,0,1.1485,4
1,3,0,0,1,2.7093,4
1,1,1,0,0,0.79875,4
1,4,0,1,1,1.5555,1
1,5,0,0,0,0.8089,4
1,3,0,0,1,2.6661,1
1,3,0,0,0,2.1965,4
1,6,1,0,0,1.0633,4
1,6,0,0,1,2.8401,1
1,5,0,1,1,1.8913,4
1,6,0,0,1,2.1554,4
1,3,0,1,0,1.1014,4
1,6,1,0,0,0.70376,4
1,2,0,1,1,2.1903,4
1,2,0,0,1,1.7509,4
1,4,0,1,0,1.4782,1
1,2,1,0,1,0.86507,4
1,2,0,0,1,2.0892,4
1,2,1,0,0,1.4307,4
1,6,0,0,1,1.6292,4
1,1,1,0,0,0.62728,4
1,1,1,0,0,1.0494,1
1,6,0,1,1,1.4723,4
1,1,0,1,1,2.2246,4
1,3,0,0,0,1.5035,4
1,3,1,0,0,0.67963,4
1,3,0,1,0,2.1535,4
1,6,0,1,0,0.74265,1
1,3,0,0,1,1.7988,4
1,3,0,0,1,0.98419,1
1,2,0,1,0,1.1122,4
1,4,1,0,0,2.4891,4
1,5,0,0,1,1.0616,4
1,6,1,0,0,1.4627,4
1,5,1,0,0,1.1494,4
1,6,1,0,0,0.66234,4
1,3,1,0,0,1.0298,4
1,3,0,0,1,0.89725,4
1,2,0,0,0,1.7239,1
1,6,1,0,0,0.85265,4
1,6,0,1,1,0.82922,4
1,1,0,1,1,1.0784,4
1,4,1,0,0,0.6847,4
1,4,0,1,1,0.82512,4
1,4,0,1,0,1.0834,4
1,5,0,0,1,1.5572,4
1,3,1,0,0,0.62286,4
1,4,0,1,1,0.84856,4
1,6,0,0,1,1.9479,4
1,5,1,0,0,1.1041,4
1,6,0,1,1,0.77377,4
1,2,1,0,0,0.62608,4
1,6,0,0,1,0.54002,4
1,4,0,1,0,0.67278,4
1,4,1,0,0,1.251,4
1,6,0,0,1,0.67637,4
1,5,0,0,1,0.963,4
1,3,0,1,1,1.7324,4
1,2,0,0,0,2.4773,1
1,6,0,0,1,1.0948,4
1,6,1,0,0,0.69312,4
1,2,0,1,1,0.77877,4
1,2,1,0,0,0.67057,4
1,5,0,0,1,1.5782,4
1,3,1,0,0,0.57967,4
1,2,0,1,1,1.7603,4
1,3,1,0,0,0.66337,4
1,3,0,0,1,0.86623,4
1,6,0,0,1,1.0415,4
1,1,0,0,1,0.99188,4
1,2,0,1,1,0.97249,4
1,3,0,0,1,0.646,4
1,6,1,0,0,0.66751,4
1,6,1,0,0,0.64365,4
1,6,0,0,1,0.57908,4
1,2,0,1,1,1.2192,4
1,5,0,0,1,0.7147,4
1,3,0,0,0,2.2912,1
1,1,0,0,0,2.0009,1
1,1,1,0,0,0.65275,4
1,2,0,0,1,0.67906,4
1,6,0,0,0,1.5085,1
1,1,0,0,1,0.97086,4
1,2,1,0,0,0.91258,1
1,4,0,1,1,0.85159,4
1,4,0,0,1,0.54018,4
1,6,0,0,1,0.62464,4
1,6,0,0,1,0.72739,4
1,2,0,0,1,0.43425,4
1,3,0,1,1,0.99783,4
1,4,0,0,1,0.61472,4
1,1,1,0,0,0.50771,4
1,1,0,1,1,1.2131,4
1,1,1,0,0,0.5397,4
1,5,0,0,1,0.62406,4
1,2,0,0,0,0.71904,4
1,4,1,0,0,0.72719,4
1,3,0,1,1,0.63524,4
1,2,0,1,0,0.63629,4
1,5,1,0,0,0.65347,4
1,4,1,0,0,0.60462,4
1,6,1,0,1,1.345,4
