Subject,Distance,Context,Resp13,RT,Vis
1,6,0,1,1.3356,1
1,6,1,1,0.91484,1
1,5,0,1,1.14,1
1,3,1,1,0.47716,1
1,6,0,0,2.6384,1
1,5,0,0,0.35521,1
1,2,1,1,0.43752,1
1,1,0,1,0.46006,1
1,2,1,1,0.37743,1
1,2,1,0,0.53109,1
1,1,0,0,0.68351,1
1,5,0,0,0.61324,1
1,2,1,1,0.59116,1
1,3,0,1,0.50763,1
1,6,0,1,0.61469,1
1,3,0,0,0.51219,1
1,5,0,0,0.50933,1
1,2,0,1,0.44026,1
1,2,1,1,0.36855,1
1,4,1,1,0.53316,1
1,1,1,1,0.4023,1
1,2,0,1,0.38901,1
1,1,0,1,0.38088,1
1,5,0,1,0.31841,1
1,5,1,1,0.42717,1
1,1,1,1,0.96854,1
1,4,0,1,0.72219,1
1,6,1,1,0.55753,1
1,1,0,0,0.54933,1
1,5,1,0,0.55333,1
1,3,1,0,0.27707,1
1,2,0,0,0.50502,1
1,4,0,0,0.49635,1
1,1,1,0,0.48488,1
1,6,1,0,0.41185,1
1,3,1,0,0.30619,1
1,5,0,1,0.23763,1
1,4,1,0,0.3903,1
1,4,0,1,0.3515,1
1,3,1,0,0.37488,1
1,4,0,1,0.58142,1
1,4,0,0,0.36783,1
1,1,1,0,0.24294,1
1,3,0,0,0.5489,1
1,2,1,0,0.67994,1
1,6,0,0,0.44806,1
1,5,1,0,0.56573,1
1,3,1,0,0.48761,1
1,5,1,0,0.37085,1
1,6,0,1,0.50538,1
1,4,1,1,0.53731,1
1,6,1,1,0.55721,1
1,2,1,1,0.21509,1
1,5,1,1,0.29761,1
1,4,1,0,0.70997,1
1,1,1,0,0.22816,1
1,5,0,1,0.25196,1
1,4,0,1,0.45298,1
1,2,0,0,0.66728,1
1,6,0,0,0.47658,1
1,3,1,0,0.74102,1
1,2,0,0,0.60286,1
1,6,1,0,0.72737,1
1,1,0,0,0.67203,1
1,6,1,0,0.41793,1
1,3,0,0,0.57501,1
1,2,1,0,0.47311,1
1,1,0,1,0.73546,1
1,3,1,1,0.64015,1
1,6,0,0,0.65642,1
1,2,0,1,0.54822,1
1,4,1,1,0.63074,1
1,5,1,0,0.46482,1
1,2,1,1,0.55296,1
1,4,1,1,0.59166,1
1,3,1,0,0.3377,1
1,3,0,0,0.27237,1
1,5,0,1,0.60973,1
1,3,0,1,0.42741,1
1,1,1,0,0.36126,1
1,4,0,1,0.51204,1
1,1,1,1,0.3397,1
1,5,1,1,0.59702,1
1,4,1,0,0.37624,1
1,2,0,1,0.58158,1
1,4,1,1,0.52147,1
1,6,1,0,0.64885,1
1,6,1,1,1.2613,1
1,4,1,0,0.52056,1
1,3,0,0,0.52958,1
2,2,0,0,2.9106,1
2,1,1,1,0.89673,1
2,3,0,1,2.364,1
2,1,1,1,1.4604,1
2,6,0,1,0.81279,1
2,5,0,0,1.3444,2
2,2,1,1,1.7391,1
2,1,1,1,0.576,1
2,6,0,1,0.9624,1
2,4,0,0,0.77401,2
2,3,0,1,0.67994,1
2,2,1,1,0.63843,1
2,4,1,1,0.57961,1
2,5,1,1,0.70627,1
2,1,0,0,0.94543,2
2,1,1,1,0.70915,1
2,4,0,1,0.54024,1
2,3,0,0,1.8414,2
2,5,1,1,0.71589,1
2,2,1,1,0.72111,1
2,2,1,1,0.76568,1
2,6,1,1,0.67818,1
2,2,1,1,0.67226,1
2,5,1,1,0.58959,1
2,4,1,1,0.85152,1
2,3,1,1,0.71383,1
2,1,1,1,1.4682,1
2,5,0,0,0.64775,2
2,5,1,1,0.72207,1
