Subject,Distance,Context,Resp13,RT,Vis
1,3,0,1,1.4162,1
1,3,0,1,1.309,1
1,2,1,1,1.4958,1
1,1,1,0,1.2115,1
1,5,1,0,0.82744,1
1,5,1,0,0.9373,1
1,6,0,0,0.92758,1
1,3,1,0,0.72199,1
1,1,0,0,0.72366,1
1,3,1,0,0.60541,1
1,3,1,0,0.60639,1
1,4,1,0,0.58422,1
1,6,0,0,0.54313,1
1,5,1,0,0.717,1
1,5,0,0,0.82394,1
1,5,1,0,0.65972,1
1,1,0,0,0.61803,1
1,2,1,0,0.92955,1
1,3,0,0,1.012,1
1,5,0,0,1.2197,1
1,3,1,0,0.82101,1
1,3,0,0,1.0606,1
1,2,1,0,0.83171,1
1,4,1,0,1.3697,1
1,1,0,0,0.8619,1
1,2,0,0,0.753,1
1,3,1,0,0.87344,1
1,2,0,0,1.095,1
1,5,1,0,1.221,1
1,2,1,0,0.95774,1
1,6,0,0,1.4116,1
1,5,1,1,1.506,1
1,2,0,0,1.3565,1
1,4,1,1,1.3755,1
1,3,1,0,1.3051,1
1,6,0,1,1.1379,1
1,3,0,1,1.4896,1
1,3,0,1,1.1848,1
1,5,1,1,1.2873,1
1,5,1,1,1.1694,1
1,3,1,1,1.1175,1
1,1,0,1,1.2483,1
1,3,1,0,1.0495,1
1,3,1,0,1.1034,1
1,3,1,0,1.0366,1
1,5,0,0,1.3989,1
1,3,0,0,1.1508,1
1,6,1,0,1.1622,1
1,3,0,0,1.6084,1
1,4,1,1,1.1097,1
1,3,1,0,1.3882,1
1,6,0,1,1.3127,1
1,5,1,1,1.3578,1
1,1,1,0,1.0635,1
1,6,0,1,0.9484,1
1,6,1,0,1.0558,1
1,5,0,1,0.93476,1
1,2,1,0,1.2899,1
1,6,0,1,0.90565,1
1,2,0,0,1.3456,1
1,1,1,0,1.1314,1
1,5,1,1,1.1439,1
1,3,0,1,1.0715,1
1,1,0,0,0.92393,1
1,2,1,1,1.0565,1
1,2,1,1,1.1595,1
1,6,0,0,1.3278,1
1,2,1,0,1.3905,1
1,5,0,0,1.4262,1
1,5,1,1,1.0219,1
1,1,1,0,1.2177,1
1,2,0,0,1.1604,1
1,3,1,0,1.6108,1
1,1,0,0,0.78969,1
1,6,0,1,0.87407,1
1,6,0,1,1.1005,1
1,3,1,0,0.92387,1
1,1,0,0,0.92206,1
1,3,0,0,0.96439,1
1,1,0,0,0.94548,1
1,2,1,0,0.92577,1
1,4,1,0,0.88993,1
1,3,0,0,1.0182,1
1,4,0,0,0.99336,1
1,3,1,0,0.9751,1
1,3,1,0,0.73281,1
1,3,0,0,0.81262,1
1,6,0,0,0.877,1
1,5,1,0,0.92049,1
1,2,1,0,1.0791,1
1,4,0,0,1.3539,1
1,4,0,0,0.95444,1
1,2,0,0,0.72721,1
1,6,1,0,0.97907,1
1,5,0,0,1.0314,1
1,1,0,0,0.69057,1
1,1,1,0,0.78226,1
1,6,0,0,0.84393,1
1,6,1,0,0.75644,1
1,2,1,0,0.81742,1
1,4,0,0,0.70505,1
1,5,0,0,0.71218,1
1,4,0,0,0.70401,1
1,4,1,0,0.68434,1
1,5,1,0,0.65187,1
1,5,1,0,1.4043,1
1,5,0,1,1.022,1
1,6,1,1,0.86084,1
1,6,1,0,0.99452,1
1,1,1,0,0.7536,1
1,1,0,0,0.6661,1
1,4,1,0,0.69364,1
1,1,1,0,0.68536,1
1,3,0,0,0.65911,1
1,5,0,0,0.84024,1
1,2,0,0,0.72938,1
1,1,1,0,0.77378,1
1,3,1,0,0.64848,1
1,5,0,0,1.0456,1
1,1,1,0,0.68006,1
1,4,1,0,0.695,1
1,3,1,0,0.67214,1
1,6,0,0,0.56928,1
1,3,0,0,0.60509,1
1,6,1,1,0.78941,1
1,1,1,0,0.60716,1
1,4,1,0,0.61987,1
1,5,0,1,0.85949,1
1,6,0,1,0.79527,1
1,5,1,1,1.1563,1
1,1,0,0,0.58262,1
1,5,0,1,0.72226,1
1,5,1,1,1.0642,1
1,1,1,0,0.74915,1
1,2,0,0,0.67482,1
1,1,0,0,0.60867,1
1,6,1,1,0.73445,1
1,5,0,1,0.83547,1
1,3,0,1,0.9485,1
1,4,0,0,0.76766,1
1,1,1,0,0.62949,1
1,5,1,1,0.86721,1
1,1,1,0,0.5954,1
1,1,1,0,0.64698,1
1,1,1,0,0.61598,1
1,1,1,0,0.57588,1
1,5,0,1,0.77098,1
1,3,0,0,0.7527,1
1,4,1,0,0.65605,1
1,4,0,0,1.0832,1
1,4,1,0,0.68303,1
1,6,0,1,0.66464,1
1,1,1,0,0.58246,1
1,3,0,0,0.68486,1
1,4,1,0,0.62143,1
1,3,1,0,0.57622,1
1,2,0,0,0.54143,1
1,1,0,0,0.62126,1
1,1,0,0,0.5862,1
1,1,1,0,0.58729,1
1,6,1,1,0.77652,1
1,3,0,0,0.86331,1
1,2,0,0,0.64307,1
1,1,1,0,0.64971,1
1,6,0,1,0.75133,1
1,4,0,0,0.90456,1
1,6,1,1,1.069,1
1,2,0,0,0.59725,1
1,3,1,1,0.97588,1
1,1,1,0,0.85944,1
1,4,1,0,0.97122,1
1,6,0,0,0.66091,1
1,2,1,0,0.69344,1
1,6,1,1,0.7658,1
1,3,0,0,0.72355,1
1,5,0,1,0.90748,1
1,5,1,1,0.7598,1
1,5,0,1,0.69424,1
1,2,0,0,0.64513,1
1,3,0,0,0.70293,1
1,2,1,0,0.8199,1
1,4,0,0,0.68542,1
1,4,0,0,0.83818,1
1,3,1,0,0.85522,1
1,3,1,0,0.9036,1
1,3,0,0,0.71553,1
1,2,1,0,0.70579,1
1,2,0,0,0.66232,1
1,3,0,0,0.56729,1
1,5,0,1,1.0152,1
1,6,1,0,0.7061,1
1,6,1,1,0.7346,1
1,2,0,0,0.55437,1
1,6,0,1,0.71006,1
1,5,1,1,0.80741,1
1,2,1,0,0.54038,1
1,6,0,1,0.74689,1
1,3,1,0,0.55266,1
1,6,1,1,0.90296,1
1,1,1,0,0.96091,1
1,4,0,1,0.77662,1
1,3,1,1,0.74506,1
1,1,0,0,0.59476,1
1,4,0,1,0.84124,1
1,2,1,0,0.58895,1
1,1,0,0,0.66847,1
1,4,1,0,0.73845,1
1,4,1,0,0.81026,1
1,1,0,0,0.69052,1
1,3,0,0,0.63966,1
1,6,1,1,0.74084,1
1,3,0,0,0.70588,1
1,3,1,0,0.71369,1
1,1,1,0,0.53085,1
1,2,1,0,0.61784,1
1,6,0,1,0.78574,1
1,6,0,1,0.91677,1
1,5,1,1,0.77394,1
1,6,0,1,0.82771,1
1,6,0,1,0.83342,1
1,2,1,0,0.68984,1
1,2,0,0,0.80761,1
1,3,1,0,0.60537,1
1,5,1,1,0.72959,1
1,1,0,0,0.6022,1
1,4,1,1,0.79777,1
1,3,1,1,0.80364,1
1,4,0,1,0.80689,1
1,6,1,1,0.97518,1
1,2,0,0,0.69502,1
1,2,1,0,0.60565,1
1,2,0,0,0.68192,1
1,5,1,1,0.76208,1
1,6,0,1,0.83914,1
1,2,1,0,0.69222,1
1,1,0,0,0.6634,1
1,2,1,0,0.70446,1
1,4,1,0,0.76037,1
1,2,1,0,0.60165,1
1,3,0,0,0.54169,1
1,1,1,0,0.55866,1
1,2,0,0,0.69766,1
1,1,0,0,0.5861,1
1,4,1,0,0.63789,1
1,6,1,1,0.73104,1
1,5,1,1,0.75224,1
1,4,0,0,0.68195,1
1,5,0,1,0.71373,1
1,5,1,1,0.76707,1
1,1,0,0,0.6527,1
1,1,1,0,0.85329,1
1,5,1,1,0.7817,1
1,5,1,1,0.80152,1
1,2,0,0,0.54403,1
1,2,1,0,0.75368,1
1,1,1,0,0.63224,1
1,4,0,0,0.78595,1
1,5,1,1,0.65642,1
1,4,0,1,0.81305,1
1,6,1,1,0.72131,1
1,2,0,0,0.63176,1
1,5,0,1,0.75094,1
1,4,1,0,0.654,1
1,6,0,1,0.71526,1
1,2,1,0,0.66557,1
1,6,1,1,0.72734,1
1,1,1,0,0.78447,1
1,1,0,0,0.5569,1
1,5,0,1,0.63134,1
1,4,1,1,1.1318,1
1,6,1,1,0.70978,1
1,4,1,0,0.99889,1
1,4,0,0,0.96203,1
1,4,0,0,1.0323,1
1,6,1,1,0.75678,1
1,6,1,1,1.2172,1
1,4,0,0,0.77692,1
1,6,0,0,1.5061,1
1,4,1,0,0.99714,1
1,4,0,0,0.88866,1
1,3,1,0,0.77309,1
1,1,0,0,0.88166,1
1,2,1,0,0.98923,1
1,2,0,0,0.6138,1
1,4,0,0,1.0554,1
1,3,0,0,0.87928,1
1,1,1,0,0.65377,1
1,2,0,0,0.82884,1
1,3,0,0,0.91653,1
1,5,0,1,0.84633,1
1,3,1,0,0.63055,1
1,4,1,0,0.75178,1
1,1,1,0,0.60681,1
1,5,0,1,0.72872,1
1,4,1,0,0.79765,1
1,6,0,1,0.84148,1
1,4,1,0,0.86925,1
1,3,0,0,0.58282,1
1,1,1,0,0.5433,1
1,1,1,0,0.6682,1
1,3,1,0,0.60007,1
1,2,0,0,0.60577,1
1,5,1,1,0.85906,1
1,2,0,0,0.57893,1
1,3,0,0,0.84862,1
1,3,1,0,0.57716,1
1,2,0,0,0.95883,1
1,2,0,0,0.60542,1
1,3,1,0,0.51969,1
1,5,1,1,0.73444,1
1,4,1,1,0.75165,1
1,2,0,0,0.58339,1
1,1,1,0,0.55849,1
1,3,0,0,0.87407,1
1,1,0,0,0.58459,1
1,6,1,1,0.69307,1
1,3,0,1,0.90828,1
1,5,0,0,1.304,1
1,3,1,0,0.58302,1
1,2,1,0,0.58551,1
1,4,1,0,1.0199,1
1,1,0,0,0.62046,1
1,2,1,0,0.71691,1
1,3,1,0,0.62006,1
1,3,1,0,0.55448,1
1,4,0,1,0.80572,1
1,2,1,0,0.61205,1
1,6,0,1,0.80732,1
1,3,1,0,0.86238,1
1,4,0,0,0.82567,1
1,5,0,1,0.76006,1
1,6,0,1,0.79906,1
1,6,1,1,0.79703,1
1,4,0,1,0.85407,1
1,1,1,0,0.69688,1
1,2,1,0,0.71467,1
