Subject,Distance,Context,Resp13,RT,Vis
1,6,1,1,1.2468,4
1,3,0,0,1.8723,1
1,6,1,0,1.4014,2
1,4,0,0,1.8152,3
1,5,1,1,2.1296,4
1,4,0,1,1.6077,4
1,5,1,1,0.76834,4
1,4,1,1,1.1008,4
1,3,0,1,0.95275,4
1,2,1,1,0.72973,4
1,3,0,1,0.92841,4
1,3,1,1,2.4894,4
1,5,0,1,1.931,1
1,3,0,1,1.9858,4
1,4,1,1,1.8829,1
1,4,0,1,2.5947,4
1,6,1,1,2.2327,4
1,1,1,0,2.2344,1
1,5,0,1,2.1705,1
1,6,1,1,1.6864,1
1,1,1,1,1.0714,1
1,2,1,1,1.3164,1
1,2,0,1,2.0776,1
1,5,1,1,1.3601,1
1,1,1,1,1.3386,1
1,3,0,1,1.0929,1
1,6,1,1,1.3039,1
1,2,0,1,0.84575,1
1,1,1,1,0.68378,1
1,1,1,1,0.67149,1
1,3,0,1,0.97337,1
1,3,1,1,0.96321,1
1,4,0,1,0.8951,1
1,2,0,1,0.82088,1
1,1,0,1,0.65285,1
1,6,1,1,1.1613,1
1,4,1,1,0.74248,1
1,2,1,1,0.68875,1
1,3,0,1,0.87009,1
1,2,0,1,1.0633,1
1,3,1,1,0.95456,1
1,1,0,0,1.929,1
1,2,1,0,1.3503,1
1,6,0,1,0.83791,1
1,2,1,1,0.63179,1
1,4,1,1,0.68422,1
1,6,0,1,0.65488,1
1,1,1,1,0.75193,1
1,3,0,1,0.64395,1
1,6,0,1,0.61366,1
1,2,0,1,0.66901,1
1,2,1,1,0.6501,1
1,4,1,1,0.55866,1
1,6,0,1,0.54392,1
1,3,1,1,0.51243,1
1,1,1,1,0.45078,1
1,3,1,1,0.48201,1
1,1,0,1,0.48176,1
1,3,1,1,0.5223,1
1,6,0,1,0.46487,1
1,6,1,1,0.49427,1
1,3,1,1,0.44136,1
1,1,0,1,0.57044,1
1,5,0,1,0.51984,1
1,4,0,1,0.4669,1
1,2,0,1,0.41079,1
1,4,1,1,0.47335,1
1,2,1,1,0.50447,1
1,4,0,1,0.40911,1
1,2,1,1,0.46371,1
1,5,0,1,0.6323,4
1,1,0,1,0.56448,4
1,3,1,1,0.89116,4
1,2,1,1,0.92349,4
1,1,0,1,0.64002,4
1,4,1,1,0.53853,4
1,5,1,1,0.53581,4
1,6,0,1,0.57639,4
1,6,0,1,0.47476,4
1,4,1,1,0.62664,4
1,2,1,1,0.91711,4
1,4,0,1,0.63034,4
1,5,0,1,0.49568,4
1,6,1,1,0.55383,1
1,1,0,1,1.0144,1
1,3,1,1,0.88632,1
1,1,1,1,0.59742,1
1,1,0,1,0.55998,1
1,3,1,1,0.68505,1
1,5,1,1,0.62566,1
1,6,0,1,0.53625,1
1,1,1,1,0.50815,1
1,5,0,1,0.50862,1
1,5,1,1,0.48842,1
1,3,0,1,0.59833,1
1,1,0,1,0.50555,1
1,1,0,1,0.56473,1
1,2,1,1,0.56478,1
1,6,1,1,0.45131,1
1,1,1,1,0.59493,1
1,1,0,0,0.94751,1
1,3,1,0,0.90404,1
1,4,1,0,1.2661,1
1,3,0,0,0.76725,1
1,5,1,1,0.74843,1
1,4,1,0,1.1555,1
1,1,0,0,0.69287,1
1,2,1,0,0.67202,1
1,6,1,1,1.5191,1
1,4,0,0,1.0943,1
1,1,1,0,0.90426,1
1,4,0,0,0.55204,1
1,5,0,0,0.98801,1
1,3,1,0,1.0385,1
1,5,1,1,1.5488,1
1,4,0,0,0.61332,1
1,1,0,0,0.53391,1
1,6,0,0,0.85191,1
1,6,1,0,0.80495,1
1,5,0,0,0.65352,1
1,5,1,0,0.62883,1
1,6,0,0,0.64209,1
1,4,1,0,0.60396,1
1,6,1,0,0.68703,1
1,3,0,0,0.55576,1
1,1,1,0,0.53015,1
1,4,0,0,0.51814,1
1,3,1,0,0.57871,1
1,5,1,0,0.5591,1
1,1,1,0,0.49648,1
1,5,0,0,0.80506,1
1,5,1,0,0.51624,1
1,3,0,0,0.58001,1
1,1,0,0,0.50124,1
2,4,0,0,2.0467,1
2,3,0,0,1.1291,1
2,1,0,0,1.9265,1
2,1,0,0,2.0876,1
2,5,0,1,1.9209,1
2,4,0,1,0.72314,1
2,2,1,0,1.0159,1
2,5,0,0,2.9058,1
2,2,1,0,1.9508,1
2,4,0,1,0.71695,1
2,2,1,1,0.87549,1
2,6,0,1,2.85,1
2,1,1,1,1.1858,1
2,2,1,1,1.311,1
2,5,0,1,1.1316,1
2,2,0,1,1.7895,2
2,2,1,0,1.4523,1
2,3,0,0,1.3095,1
2,1,0,1,0.60085,1
2,4,0,1,1.6258,1
2,1,0,0,0.82957,1
2,2,1,1,0.8468,1
2,3,0,1,1.5932,2
2,2,0,0,1.1217,1
2,6,1,0,0.58338,1
2,1,0,1,2.6159,3
2,3,1,0,0.93415,1
2,3,0,0,0.35919,1
2,4,1,0,0.37652,1
2,3,0,0,0.48766,1
2,6,0,0,0.41885,1
2,1,1,0,0.58793,1
2,4,1,1,1.3499,1
2,4,0,1,0.45567,1
2,6,0,1,0.5331,1
2,6,0,1,0.45185,1
2,6,0,1,0.42721,1
2,5,0,1,0.45899,1
2,1,1,1,0.62885,1
2,4,0,1,0.33674,1
2,5,1,1,0.62008,1
2,2,0,1,0.49043,2
2,4,1,0,1.8476,1
2,3,1,1,0.24359,1
2,5,0,1,0.19208,1
2,2,0,1,0.35742,1
2,6,0,1,0.57774,1
2,5,1,1,0.27973,1
2,6,1,1,0.5943,1
2,2,0,1,1.6509,1
2,6,0,1,1.0821,1
