Subject,Distance,Context,Style,Item,ClassRef,RT,Vis
1,3,1,0,10,1,0.85133,4
1,1,0,0,8,0,1.2262,4
1,1,1,0,7,0,1.166,4
1,3,1,0,11,1,1.2445,4
1,2,1,0,9,1,1.0312,4
1,2,0,0,8,0,1.5083,4
1,2,0,0,7,0,0.8654,4
1,1,0,0,9,0,0.95608,4
1,3,1,0,7,1,1.1813,4
1,1,1,0,9,1,1.5126,3
1,1,0,0,11,0,1.7909,4
1,1,0,0,12,0,1.092,4
1,3,0,0,11,0,1.2511,4
1,1,0,0,7,0,0.89177,4
1,3,0,0,9,0,1.5309,4
1,1,1,0,10,1,0.88008,4
1,2,1,0,8,1,1.1452,4
1,1,0,0,10,0,1.2525,4
1,1,1,0,11,0,1.0737,4
1,2,0,0,12,1,1.3562,4
1,2,1,0,7,1,0.91018,4
1,2,0,0,9,0,0.94686,4
1,3,0,0,8,0,0.92389,4
1,3,0,0,7,1,0.92266,3
1,1,1,0,12,1,1.9523,4
1,2,0,0,10,0,1.0576,4
1,3,1,0,8,1,1.304,4
1,3,1,0,9,1,0.9478,4
1,1,1,0,8,1,1.2825,4
1,3,0,0,10,0,1.6249,4
1,3,1,0,12,1,1.1908,4
1,2,0,0,11,0,0.93862,4
1,3,0,0,12,1,1.1418,4
1,2,1,0,10,1,1.0417,4
1,2,1,0,12,1,1.1288,4
1,2,1,0,11,1,1.0668,4
1,1,1,0,12,1,0.99646,4
1,2,1,0,11,1,0.9957,4
1,3,0,0,8,0,1.2436,4
1,3,0,0,12,1,0.93951,4
1,2,1,0,10,1,0.97792,4
1,2,1,0,7,1,0.81401,4
1,1,1,0,11,1,1.5133,4
1,2,0,0,12,0,1.7903,3
1,2,0,0,8,0,1.0809,4
1,1,0,0,12,1,1.1275,4
1,1,0,0,9,0,0.96535,4
1,3,1,0,10,1,1.0551,4
1,2,1,0,8,1,1.1189,4
1,3,1,0,11,1,0.92652,4
1,2,1,0,9,1,0.99188,4
1,3,1,0,9,1,0.94115,4
1,2,1,0,12,1,1.3402,4
1,1,1,0,7,1,0.95084,4
1,3,1,0,12,1,1.3421,4
1,1,0,0,7,1,2.0265,3
1,3,0,0,10,1,1.1471,4
1,2,0,0,11,0,1.111,4
1,1,1,0,10,1,0.89081,4
1,1,1,0,9,1,1.1968,4
1,1,0,0,11,0,1.1106,4
1,2,0,0,9,1,1.8659,4
1,3,0,0,7,1,1.639,3
1,3,0,0,9,0,1.3774,4
