Subject,Distance,Context,Style,Item,ClassRef,RT,Vis
1,1,0,0,12,0,0.69093,1
1,1,1,0,8,0,0.79532,1
1,1,1,0,9,0,0.71793,1
1,2,1,0,7,1,0.95726,1
1,2,0,0,9,1,0.92367,1
1,3,0,0,11,1,0.78899,1
1,1,1,0,12,0,0.65285,1
1,1,1,0,11,0,0.79745,1
1,3,0,0,12,1,0.95259,1
1,1,1,0,7,0,1.1646,1
1,2,0,0,10,1,0.98966,1
1,2,1,0,11,0,1.3862,1
1,2,1,0,12,0,0.63551,1
1,1,0,0,8,0,0.66723,1
1,2,0,0,11,1,0.95196,1
1,3,0,0,10,1,0.79914,1
1,3,1,0,12,1,0.78638,1
1,3,0,0,8,1,0.66354,1
1,1,0,0,10,1,0.87281,1
1,1,0,0,11,0,1.3705,1
1,2,0,0,8,0,0.81789,1
1,3,1,0,10,1,0.91963,1
1,1,0,0,7,1,0.9456,1
1,2,1,0,9,1,0.73189,1
1,3,1,0,7,1,0.78615,1
1,3,1,0,9,1,0.74199,1
1,3,1,0,8,1,0.64133,1
1,2,0,0,12,1,0.99647,1
1,2,0,0,7,1,0.70825,1
1,1,1,0,10,1,0.80362,1
1,2,1,0,8,0,1.3642,1
1,3,0,0,7,1,0.7034,1
1,3,0,0,9,1,0.69797,1
1,3,1,0,11,1,0.92776,1
1,2,1,0,10,1,0.66975,1
1,1,0,0,9,1,0.81563,1
1,1,1,0,8,0,0.7346,1
1,3,0,0,9,1,0.57436,1
1,1,1,0,11,0,0.51159,1
1,2,1,0,7,1,0.75418,1
1,2,1,0,11,0,0.99548,1
1,1,0,0,8,0,0.63004,1
1,3,0,0,10,1,0.6454,1
1,1,0,0,9,1,0.71718,1
1,3,0,0,12,1,0.65438,1
1,2,1,0,10,1,0.62957,1
1,3,1,0,8,1,0.70689,1
1,3,1,0,12,1,0.83686,1
1,3,1,0,7,1,0.84354,1
1,1,1,0,9,1,0.59465,1
1,2,0,0,12,1,0.54386,1
1,3,1,0,10,1,0.58434,1
1,3,0,0,8,1,0.54501,1
1,3,0,0,7,1,1.3097,1
1,3,1,0,11,1,0.55598,1
1,2,1,0,12,1,0.5554,1
1,1,0,0,11,0,1.1555,1
1,2,0,0,7,1,0.61308,1
1,2,1,0,8,0,0.79841,1
1,2,0,0,9,1,0.52901,1
1,1,0,0,10,1,0.52946,1
1,1,0,0,7,1,0.58353,1
1,2,1,0,9,1,0.48472,1
1,2,0,0,10,1,0.59929,1
1,1,0,0,12,1,0.63654,1
1,3,0,0,11,1,0.81443,1
1,1,1,0,10,1,0.58974,1
1,2,0,0,8,0,0.90367,1
1,1,1,0,12,1,0.59354,1
1,3,1,0,9,1,0.614,1
1,1,1,0,7,1,0.66945,1
1,1,0,0,11,1,0.83387,1
1,2,1,0,8,0,0.78037,1
1,1,1,0,12,1,0.64838,1
1,1,1,0,9,1,0.60891,1
1,3,0,0,7,1,0.87206,1
1,3,1,0,11,1,0.56689,1
1,2,0,0,7,1,0.63159,1
1,1,1,0,11,1,0.77985,1
1,3,1,0,7,1,0.59644,1
1,1,1,0,10,1,0.54165,1
1,3,0,0,8,1,0.66813,1
1,2,0,0,9,1,0.56487,1
1,3,0,0,10,1,0.56348,1
1,1,0,0,8,0,0.98275,1
1,3,1,0,9,1,0.53055,1
1,1,1,0,8,0,0.84616,1
1,2,0,0,12,1,0.49304,1
1,1,1,0,7,1,0.62978,1
1,2,1,0,11,0,1.3557,1
1,1,0,0,10,1,0.58,1
1,1,0,0,7,1,0.61538,1
1,3,0,0,11,1,0.57391,1
1,3,0,0,12,1,0.56968,1
1,2,0,0,8,1,0.76054,1
1,2,1,0,10,1,0.59701,1
1,1,0,0,9,1,0.51014,1
1,2,1,0,12,1,0.51943,1
1,3,1,0,8,1,0.62773,1
1,3,1,0,12,1,0.66708,1
1,2,1,0,9,1,0.55719,1
1,3,1,0,10,1,0.56944,1
1,1,0,0,12,1,0.56345,1
1,2,0,0,10,1,0.50527,1
1,3,0,0,9,1,0.52513,1
1,2,0,0,11,1,0.68924,1
1,3,0,0,10,1,0.58082,1
1,2,0,0,9,1,0.51928,1
1,3,1,0,12,1,0.53059,1
1,3,0,0,11,1,0.73095,1
1,3,1,0,11,1,0.57613,1
1,2,1,0,9,1,0.56126,1
1,2,1,0,11,1,0.51003,1
1,1,1,0,8,0,1.1995,1
1,1,1,0,10,1,0.60645,1
1,3,0,0,9,1,0.52833,1
1,1,0,0,11,1,0.46223,1
1,2,0,0,7,1,0.63339,1
1,3,1,0,10,1,0.58013,1
1,3,1,0,8,1,0.61863,1
1,2,1,0,10,1,0.5054,1
1,1,0,0,8,1,0.66716,1
1,1,1,0,9,0,0.7852,1
1,1,1,0,12,1,0.66624,1
1,2,1,0,8,1,0.50298,1
1,2,0,0,12,1,0.52563,1
1,1,1,0,11,1,0.54729,1
1,3,1,0,7,1,0.79064,1
1,2,0,0,11,1,0.5619,1
1,2,1,0,12,1,0.44095,1
1,2,0,0,10,1,0.55421,1
1,2,1,0,7,1,0.68491,1
1,1,0,0,9,1,0.72776,1
1,3,0,0,12,1,0.49011,1
1,3,1,0,9,1,0.51013,1
1,1,0,0,12,1,0.58313,1
1,3,0,0,7,1,0.58863,1
1,1,0,0,10,1,0.54925,1
1,1,0,0,7,1,0.78034,1
1,2,0,0,8,1,0.57356,1
1,2,0,0,9,1,0.52069,1
1,3,1,0,8,1,0.48582,1
1,1,0,0,10,1,0.6359,1
1,2,0,0,7,1,0.63993,1
1,2,0,0,10,1,0.65508,1
1,2,1,0,11,1,0.48034,1
1,3,1,0,10,1,0.55582,1
1,3,1,0,7,1,0.59537,1
1,3,1,0,9,1,0.57138,1
1,2,0,0,8,1,0.58651,1
1,2,1,0,7,1,0.68049,1
1,3,0,0,10,1,0.54632,1
1,3,0,0,8,1,0.55284,1
1,2,0,0,12,1,0.56216,1
1,1,0,0,11,1,0.76813,1
1,3,0,0,7,1,0.55399,1
1,3,0,0,12,1,0.54385,1
