Subject,Distance,Context,ClassRef,RT,Vis
1,1,1,1,0.77285,1
1,3,1,1,0.87607,1
1,2,1,1,0.52651,1
1,1,1,0,0.57654,1
1,1,0,0,0.48439,1
1,2,0,1,0.665,1
1,1,0,0,0.55971,1
1,2,0,1,0.62824,1
1,2,1,0,0.58542,1
1,2,0,0,0.7207,1
1,1,1,1,0.5426,1
1,1,0,1,0.63645,1
1,1,0,0,0.4891,1
1,2,0,1,0.4657,1
1,1,1,0,NaN,1
1,1,1,0,0.53351,1
1,3,0,0,0.44013,1
1,3,0,0,0.48242,1
1,1,1,0,0.50056,1
1,2,1,0,0.47923,1
1,2,1,0,0.60159,1
1,2,0,0,0.59099,1
1,2,1,1,0.45368,1
1,2,0,1,0.46808,1
1,1,0,0,0.5117,1
1,3,1,0,0.62262,1
1,3,1,1,0.6151,1
1,3,0,0,0.61319,1
1,1,0,0,0.59437,1
1,3,1,0,0.55493,1
1,3,1,1,0.64325,1
1,2,1,1,0.45022,1
1,3,0,0,0.5687,1
1,3,0,0,0.54005,1
1,3,0,0,0.45454,1
1,3,1,0,0.38327,1
1,2,0,1,0.62778,1
1,3,1,1,0.47281,1
1,1,0,1,0.4674,1
1,3,1,1,0.4874,1
1,3,1,1,0.59528,1
1,2,1,0,0.6111,1
1,1,1,1,0.61913,1
1,3,1,0,0.56348,1
1,3,0,0,0.46955,1
1,2,1,0,0.43682,1
1,3,1,1,0.43598,1
1,1,0,0,0.46865,1
1,2,0,0,0.45866,1
1,3,0,1,0.43303,1
1,2,0,0,0.993,1
1,3,0,1,0.75148,1
1,1,0,1,0.47535,1
1,2,1,0,0.51148,1
1,2,1,1,0.49144,1
1,1,0,0,0.4463,1
1,1,1,0,0.79912,1
1,3,0,0,0.62709,1
1,1,1,1,0.69615,1
1,2,1,0,0.63863,1
1,3,1,1,0.89796,1
1,2,0,0,0.6244,1
1,1,0,1,0.6445,1
1,1,0,0,0.69305,1
1,2,1,1,0.4995,1
1,1,0,1,0.44776,1
1,2,0,0,0.53021,1
1,3,1,1,0.39529,1
1,1,1,0,0.46544,1
1,1,1,1,0.45525,1
1,1,1,0,0.48179,1
1,2,0,0,0.47838,1
1,3,0,0,0.52914,1
1,3,1,0,0.4962,1
1,2,0,0,0.46883,1
1,3,0,1,0.46281,1
1,1,1,1,0.51932,1
1,3,1,0,0.64306,1
1,3,1,0,NaN,1
1,2,0,0,0.49614,1
9,2,1,1,0.73408,1
9,2,0,1,0.64006,1
9,2,0,0,0.77843,1
9,2,1,1,NaN,1
9,3,1,0,0.66419,1
9,3,0,0,0.63342,1
9,2,0,0,0.56477,1
9,3,1,1,0.70788,1
9,1,0,1,0.92976,1
9,3,1,1,1.3225,1
9,2,0,0,NaN,1
9,3,1,1,0.45401,1
9,1,1,0,0.40077,1
9,3,1,1,0.38472,1
9,1,0,0,0.41908,1
9,2,1,1,0.5518,1
9,3,1,1,0.48104,1
9,1,0,0,0.46554,1
9,3,0,0,0.58166,1
9,1,1,0,0.33798,1
9,3,0,0,0.42129,1
9,1,1,0,0.3426,1
9,1,1,1,0.39257,1
9,2,1,0,0.37043,1
9,3,0,0,0.42502,1
9,3,0,1,0.72166,1
9,1,0,1,0.5782,1
9,2,0,0,0.41003,1
9,2,1,0,0.49863,1
9,2,0,1,0.57446,1
9,1,0,0,0.54521,1
9,1,0,0,0.78984,1
9,1,1,0,0.671,1
9,3,0,1,0.4823,2
9,2,1,1,0.76004,1
9,1,1,1,0.81713,1
9,2,1,0,0.72307,1
9,2,0,1,0.49762,1
9,3,0,1,0.55744,1
9,2,1,0,0.58875,1
9,2,1,0,1.014,1
9,3,1,1,0.71443,1
9,1,0,0,0.45703,1
9,1,1,1,0.60403,1
9,3,1,1,0.57212,1
9,1,1,1,0.54267,1
9,3,0,1,0.51706,1
9,1,0,1,0.41194,1
9,1,0,1,0.35521,1
9,3,1,0,0.48698,1
9,1,0,0,0.54447,1
9,3,1,0,0.55435,1
9,3,0,1,0.51873,1
9,2,0,0,0.49276,1
9,2,1,0,0.56133,1
9,3,0,0,0.39052,1
9,3,0,1,0.58585,1
9,1,1,1,0.52649,1
9,2,1,0,0.53298,1
9,2,0,0,0.70954,1
9,2,0,0,0.69418,2
9,2,0,1,0.68802,1
9,1,0,0,NaN,1
9,2,1,1,0.57452,1
9,1,1,1,0.43574,1
9,2,0,0,0.53391,1
9,1,1,1,0.43892,1
9,3,1,1,0.73803,1
9,2,1,1,0.32073,1
9,2,1,1,0.38074,1
9,3,0,0,0.34446,1
9,3,1,1,0.31254,1
9,2,1,1,0.39109,1
9,2,0,0,0.47829,1
9,1,0,0,0.47236,1
9,3,0,0,0.38758,1
9,1,1,1,0.53396,1
9,1,1,0,0.42323,1
9,1,1,0,0.49181,1
9,2,1,1,0.5396,1
9,3,1,1,0.5337,1
9,3,1,1,0.57424,1
10,3,1,0,0.95932,1
10,3,0,1,1.0066,1
10,2,1,1,0.94365,1
10,2,1,1,0.88505,1
10,1,1,1,0.93829,1
10,1,0,1,0.89223,1
10,3,1,1,1.6388,1
10,3,1,0,0.89531,1
10,2,0,1,0.71192,1
10,2,0,0,1.0539,1
10,2,0,0,0.76572,1
10,2,0,1,0.72784,1
10,2,0,1,0.82504,1
10,1,0,0,0.72218,1
10,3,1,0,0.49541,1
10,3,1,1,1.06,1
10,1,1,0,1.1473,1
10,1,1,0,1.0904,1
10,1,1,0,1.5697,1
10,2,1,1,0.94361,1
10,1,1,0,1.7728,1
10,1,0,0,1.1822,1
10,3,0,1,0.59528,1
10,1,0,1,0.63814,1
10,3,0,1,1.0052,1
10,1,1,0,0.69896,1
10,2,1,0,0.64891,1
10,2,1,0,1.1236,1
10,1,0,1,0.91741,1
10,1,0,1,0.65789,1
10,2,0,0,0.85327,1
10,3,1,0,0.76927,1
10,3,0,1,0.74026,1
10,2,1,0,0.88493,1
10,3,0,0,0.92825,1
10,3,0,0,0.98405,1
10,1,0,0,0.75385,1
10,2,0,0,1.0263,1
10,2,1,1,0.62869,1
10,2,1,0,0.77475,1
10,3,0,0,0.72323,1
10,3,1,0,0.63659,1
10,3,1,1,0.86854,1
10,2,1,1,0.68097,1
10,2,0,0,0.61311,1
10,2,0,0,1.1843,1
10,3,0,1,0.83015,1
10,1,1,1,0.67548,1
10,1,1,0,0.57739,1
10,1,0,0,0.51192,1
10,3,1,1,0.62404,1
10,1,0,0,0.84581,1
10,2,1,1,0.87626,1
10,2,0,1,0.57896,1
10,1,0,0,0.33821,1
10,3,0,1,0.38734,1
10,2,0,0,0.74738,1
10,3,0,0,0.68667,1
10,3,0,0,0.71042,1
10,1,0,0,0.75051,1
10,2,1,0,0.95986,1
10,2,1,0,0.75086,1
10,1,1,1,0.82833,1
10,2,0,0,0.60958,1
10,1,0,1,0.81945,1
10,2,1,1,0.55203,1
10,3,1,1,0.67128,1
10,1,0,0,0.73232,1
10,1,1,1,0.78911,1
10,3,1,1,1.0517,1
10,1,1,0,0.99615,1
10,1,1,1,0.56486,1
10,3,1,1,0.66475,1
10,2,0,0,0.84726,1
10,3,0,1,0.40073,1
10,2,1,1,0.52388,1
10,3,0,0,0.5368,1
10,2,1,1,0.48078,1
10,3,0,1,0.73626,1
10,2,0,0,0.68388,1
11,2,1,0,0.82944,1
11,2,1,1,1.4466,1
11,3,1,1,1.4811,1
11,1,0,1,0.89837,1
11,3,0,0,0.81097,1
11,1,1,1,1.2187,1
11,3,0,1,0.80737,1
11,3,0,0,1.782,1
11,2,1,1,1.4444,1
11,1,1,1,1.7398,1
11,3,1,0,1.0889,1
11,2,0,1,1.1959,2
11,2,1,0,1.2807,2
11,1,1,1,1.172,1
11,2,1,0,1.2203,2
11,3,1,1,1.5104,1
11,1,0,0,NaN,1
11,3,0,0,1.4171,1
11,1,1,1,0.94975,1
11,1,0,0,1.287,1
11,2,1,1,NaN,1
11,3,1,1,0.94415,1
11,1,1,1,1.2679,1
11,2,0,0,0.94971,1
11,1,0,0,0.98913,1
11,1,1,1,1.3264,1
11,3,0,0,0.63608,1
11,2,0,0,0.88146,1
11,2,0,0,0.82072,1
11,3,1,1,2.1352,1
11,1,0,1,0.88517,1
11,1,0,0,0.93773,1
11,2,0,1,0.6635,1
11,3,0,0,0.54091,1
11,3,1,1,0.93888,1
11,2,0,0,0.82327,1
11,2,1,1,0.89984,1
11,1,0,0,0.80522,1
11,3,0,0,0.78439,1
11,1,0,0,0.53309,1
11,3,0,0,0.54238,1
11,1,1,1,0.75753,1
11,1,0,0,0.85734,1
11,1,1,1,0.84187,1
11,3,1,0,0.822,1
11,3,1,1,0.8745,1
11,3,1,1,0.8208,1
11,2,1,1,0.78756,1
11,2,0,1,1.1722,1
11,3,0,1,1.0212,1
11,1,1,1,0.80526,1
11,1,0,0,1.3226,1
11,1,0,0,0.74956,1
11,2,0,1,0.63377,1
11,2,1,0,0.82286,1
11,3,1,1,0.73734,1
11,1,0,0,1.224,1
11,1,1,0,1.1213,1
11,3,0,1,1.0443,1
11,3,1,1,0.86102,1
11,1,1,1,1.0143,1
11,2,0,0,1.0189,1
11,2,1,1,0.69808,1
11,3,0,0,0.5524,1
11,2,1,1,0.57053,1
11,2,0,0,0.6612,1
11,3,0,0,0.72307,1
11,1,0,0,0.71621,1
11,3,0,0,0.33897,1
11,1,0,0,0.3982,1
11,2,1,1,0.40468,1
11,2,0,0,1.3014,1
11,3,0,0,0.61993,1
11,2,1,1,0.52642,1
11,3,1,1,0.5972,1
11,2,0,0,0.7824,1
11,1,1,1,0.57831,1
11,1,1,1,1.0669,1
11,1,0,0,0.6668,1
11,3,0,0,0.70072,1
11,1,1,1,1.0133,1
11,1,0,1,0.87047,1
11,2,0,1,0.63355,1
12,2,1,0,1.3726,1
12,3,0,1,1.4538,1
12,3,0,0,1.1722,1
12,2,0,0,1.0164,1
12,1,1,1,1.0082,1
12,1,1,0,1.3146,1
12,1,0,1,1.0727,1
12,1,0,0,0.9312,1
12,1,0,0,1.0637,1
12,1,1,1,1.6183,1
12,2,1,0,1.0395,1
12,3,1,1,1.3739,1
12,1,0,0,1.3194,1
12,3,1,0,1.0713,1
12,2,0,0,0.97502,1
12,1,0,1,0.97904,1
12,2,1,1,0.89826,1
12,3,0,0,0.84753,1
12,3,0,1,0.82011,1
12,3,1,1,1.096,1
12,3,0,0,1.2104,1
12,1,0,0,0.9872,1
12,3,1,0,1.5557,1
12,3,0,0,0.80946,1
12,2,1,1,0.83413,1
12,2,0,1,1.1487,1
12,1,1,1,0.8579,1
12,2,1,0,1.2806,1
12,3,1,1,0.88983,1
12,2,0,1,1.3876,1
12,1,1,1,0.86494,1
12,1,1,1,0.82545,1
12,2,0,0,0.75999,1
12,2,0,1,1.0433,1
12,2,1,1,0.75655,1
12,3,1,1,0.77838,1
12,3,1,0,1.2673,1
12,1,1,1,0.78073,1
12,1,0,1,1.0137,1
12,2,0,1,0.74852,1
12,1,0,1,1.7619,1
12,1,1,1,0.74456,1
12,3,1,0,0.9959,1
12,1,0,0,0.89358,1
12,1,1,1,0.95292,1
12,3,0,0,1.1277,1
12,3,0,0,0.80864,1
12,3,1,1,0.93064,1
12,3,1,1,1.0913,1
12,2,0,1,1.121,1
12,1,0,0,0.99103,1
12,2,0,1,0.81227,1
12,1,1,0,1.5087,1
12,2,0,0,0.78951,1
12,1,1,1,0.83475,1
12,2,1,1,0.79718,1
12,3,0,0,1.136,1
12,3,1,0,0.76772,1
12,2,1,1,0.89287,2
12,2,1,1,6.6195,1
12,2,1,1,1.6612,1
12,2,0,0,2.0283,1
12,2,1,1,3.0549,1
12,3,1,1,0.83484,1
12,1,0,0,1.4799,1
12,1,1,1,0.95054,1
12,2,0,0,1.2119,1
12,3,0,0,1.5722,1
12,2,1,1,0.93092,1
12,3,0,0,0.85005,1
12,1,0,0,0.79922,1
12,3,0,0,0.79194,1
12,2,0,0,1.3425,1
12,1,1,1,0.83699,1
12,3,1,1,0.95901,1
12,1,0,1,1.1482,1
12,1,0,1,1.125,1
12,2,1,0,0.83027,1
12,1,0,1,1.2782,1
12,2,1,1,0.76534,1
12,2,1,1,0.95196,1
13,1,1,1,0.63732,1
13,3,1,1,0.84995,1
13,1,1,1,0.70736,1
13,2,0,0,0.84433,1
13,3,0,1,0.71155,1
13,2,0,1,0.77474,1
