Subject,Distance,Context,ClassRef,RT,Vis
1,4,0,0,2.1315,1
1,4,1,0,0.95536,1
1,5,1,0,1.9284,1
1,2,1,0,0.88566,1
1,3,0,0,0.8914,1
1,1,0,0,0.83519,1
1,3,1,0,0.81842,1
1,5,0,0,1.3815,1
1,6,1,1,0.91135,1
1,6,0,1,0.9665,1
1,1,1,0,1.1544,1
1,3,0,0,1.0958,1
1,2,1,0,0.88097,1
1,6,1,1,1.0621,1
1,5,1,1,0.86065,1
1,5,0,1,1.0697,1
1,6,0,1,0.68596,1
1,1,1,0,0.93465,1
1,1,0,0,0.95103,1
1,2,0,0,0.78625,1
1,3,1,0,0.97959,1
1,2,0,0,0.83746,1
1,3,0,0,0.85467,1
1,6,0,1,0.71588,1
1,2,1,0,0.85171,1
1,4,0,0,1.5703,1
1,3,1,0,1.8448,1
1,1,0,0,0.87511,1
1,4,1,0,1.0704,1
1,1,1,0,0.85813,1
1,5,0,1,0.7355,1
1,5,1,1,0.76264,1
1,6,1,1,0.73378,1
1,2,0,0,0.72448,1
1,1,0,0,0.72896,1
1,6,0,1,0.82946,1
1,2,1,0,0.75874,1
1,5,1,1,1.2032,1
1,3,0,0,1.2858,1
1,6,1,1,0.68175,1
1,4,1,0,1.0362,1
1,3,1,0,1.4507,1
1,4,0,0,0.93934,1
1,1,1,0,0.97043,1
1,5,0,1,0.65913,1
1,5,1,1,0.85465,1
1,3,0,0,0.82602,1
1,5,0,0,1.3364,1
1,1,0,0,0.679,1
1,4,1,0,0.85621,1
1,2,1,0,0.80277,1
1,2,0,0,0.71278,1
1,1,1,0,0.72472,1
1,4,0,0,0.87707,1
1,6,0,1,0.63044,1
1,6,1,1,0.73966,1
1,5,0,1,1.4128,1
1,4,1,0,1.0032,1
1,1,0,0,0.68316,1
1,6,0,1,0.77428,1
1,3,1,0,1.0188,1
1,3,0,0,0.77006,1
1,1,1,0,0.62648,1
1,2,1,0,0.78572,1
1,2,0,0,0.82103,1
1,6,1,1,0.73893,1
1,4,0,0,2.0415,1
1,3,1,0,0.89382,1
1,1,0,0,0.68782,1
1,1,1,0,0.84843,1
1,2,0,0,0.87865,1
1,5,0,1,0.79787,1
1,4,1,1,0.79727,1
1,4,0,1,0.9103,1
1,5,1,1,1.2988,1
1,6,1,1,0.67747,1
1,6,0,1,0.64936,1
1,2,1,0,0.62528,1
1,3,0,0,0.97848,1
1,4,1,0,0.81569,1
1,4,0,0,1.6822,1
1,1,0,0,1.5467,1
1,1,1,0,0.75936,1
1,3,1,0,1.1559,1
1,6,1,1,0.7337,1
1,2,0,0,0.65024,1
1,5,1,0,0.93088,1
1,2,1,0,0.62005,1
1,5,0,0,0.90856,1
1,6,0,0,0.64856,1
1,6,1,1,0.74161,1
1,1,0,0,0.6015,1
1,2,1,0,0.65282,1
1,2,0,0,0.71264,1
1,3,1,0,0.89113,1
1,4,1,0,0.71446,1
1,6,0,1,0.68357,1
1,1,1,0,0.62555,1
1,5,0,0,0.87954,1
1,3,0,0,0.85326,1
1,4,0,0,0.69118,1
1,5,1,1,1.7164,1
1,4,0,1,1.3845,1
1,6,1,1,0.67746,1
1,4,1,0,0.99535,1
1,2,1,0,0.64725,1
1,1,0,0,0.70647,1
1,1,1,0,0.65437,1
1,2,0,0,0.65828,1
1,5,1,0,1.2569,1
1,3,1,0,0.75282,1
1,6,0,1,0.64454,1
1,3,0,0,0.74778,1
1,5,0,1,1.2797,1
1,1,1,0,0.69757,1
1,1,0,0,0.72611,1
1,5,1,1,0.80535,1
1,2,1,0,0.67201,1
1,3,1,0,0.84848,1
1,3,0,0,0.64515,1
1,2,0,0,0.59035,1
1,4,1,0,0.93163,1
1,5,0,0,0.99872,1
1,6,1,0,0.62457,1
1,4,0,0,1.3277,1
1,6,0,1,0.5951,1
1,6,1,1,0.66095,1
1,2,0,0,0.72739,1
1,3,1,0,0.88128,1
1,4,1,0,1.7727,1
1,6,0,1,0.68374,1
1,1,0,0,0.71172,1
1,5,0,0,1.5615,1
1,2,1,0,0.68065,1
1,4,0,0,1.1919,1
1,1,1,0,0.73255,1
1,5,1,0,0.999,1
1,3,0,0,0.73897,1
1,1,1,0,0.67949,1
1,3,0,0,0.68001,1
1,5,1,1,1.1453,1
1,6,1,1,0.71447,1
1,6,0,1,0.80784,1
1,1,0,0,0.65219,1
1,2,1,0,0.71224,1
1,5,0,1,1.006,1
1,4,1,0,0.72183,1
1,4,0,0,1.9425,1
1,3,1,0,0.74229,1
1,2,0,0,0.91818,1
1,1,1,0,0.68351,1
1,5,0,1,0.77006,1
1,2,1,0,0.60999,1
1,4,0,0,1.9717,1
1,3,1,0,0.74733,1
1,3,0,0,0.83723,1
1,4,1,0,0.98579,1
1,1,0,0,0.75765,1
1,6,1,1,0.76143,1
1,2,0,0,0.62599,1
1,4,1,0,1.0286,1
1,2,0,0,0.78574,1
1,5,1,1,0.93165,1
1,5,0,1,0.7923,1
1,1,1,0,0.6055,1
1,3,0,0,1.0681,1
1,3,1,0,0.7612,1
1,1,0,0,0.6591,1
1,4,0,0,0.94773,1
1,6,1,1,0.76363,1
1,6,0,1,0.77894,1
1,2,1,0,0.66133,1
1,2,0,0,0.81933,1
1,2,1,0,0.7071,1
1,3,0,0,0.8084,1
1,4,0,0,1.167,1
1,5,1,1,1.2461,1
1,1,0,0,0.65133,1
1,5,0,1,0.78733,1
