Subject,Distance,Context,ClassRef,RT,Vis
1,5,1,1,0.719,1
1,2,1,1,0.72217,1
1,3,0,1,0.8353,1
1,1,0,0,1.2385,1
1,3,1,1,0.61095,1
1,5,0,1,0.59747,1
1,6,1,1,0.47944,1
1,6,0,1,0.4034,1
1,1,1,1,0.39714,1
1,2,0,1,0.59309,1
1,4,1,1,0.38492,1
1,3,0,1,0.4225,1
1,2,1,1,0.36383,1
1,6,1,1,0.48194,1
1,5,1,1,0.39727,1
1,5,0,1,0.29465,1
1,4,0,1,0.39254,1
1,6,0,1,0.44699,1
1,1,1,1,0.43291,1
1,1,0,1,0.4656,1
1,2,0,1,0.36085,1
1,3,1,1,0.43739,1
1,2,0,1,0.37977,1
1,3,0,1,0.38963,1
1,6,0,1,0.44168,1
1,2,1,1,0.46635,1
1,4,0,1,0.51005,1
1,3,1,1,0.46348,1
1,1,0,1,0.47531,1
1,4,1,1,0.54251,1
1,1,1,1,0.5117,1
1,5,0,1,0.49576,1
1,5,1,1,0.65752,1
1,6,1,1,0.69607,1
1,2,0,1,0.454,1
1,1,0,1,0.37788,1
1,6,0,1,0.43776,1
1,2,1,1,0.39433,1
1,5,1,1,0.37221,1
1,3,0,1,0.41757,1
1,6,1,1,0.34128,1
1,4,1,1,0.38188,1
1,3,1,1,0.2985,1
1,4,0,1,0.47306,1
1,1,1,1,0.41968,1
1,5,0,1,0.43885,1
1,3,1,1,0.42674,1
1,5,1,1,0.39461,1
1,3,0,1,0.42992,1
1,5,0,1,0.31515,1
1,1,0,1,0.31392,1
1,4,1,1,0.45113,1
1,2,1,1,0.34963,1
1,2,0,1,0.35208,1
1,1,1,1,0.38398,1
1,4,0,1,0.34456,1
1,6,0,1,0.38181,1
1,6,1,1,0.37391,1
1,5,0,1,0.40574,1
1,4,1,1,0.35167,1
1,5,1,1,0.50719,1
1,6,0,1,0.35912,1
1,3,1,1,0.33368,1
1,3,0,1,0.29426,1
1,1,1,1,0.39627,1
1,2,1,1,0.27534,1
1,2,0,1,0.30871,1
1,6,1,1,0.33849,1
1,4,0,1,0.2919,1
1,3,1,1,0.32517,1
1,1,0,1,0.39539,1
1,1,1,1,0.26675,1
1,3,0,1,0.29875,1
1,2,0,1,0.37151,1
1,4,1,1,0.38021,1
1,4,0,1,0.31417,1
1,5,1,1,0.29055,1
1,6,1,1,0.37326,1
1,6,0,1,0.39313,1
1,2,1,1,0.36761,1
1,3,0,1,0.42227,1
1,4,1,1,0.40746,1
1,4,0,1,0.34263,1
1,1,0,1,0.33936,1
1,1,1,0,1.0326,1
1,3,1,1,0.81829,1
1,6,1,1,0.50163,1
1,2,0,1,0.7554,1
1,5,1,1,0.49207,1
1,2,1,1,0.57447,1
1,5,0,1,0.49718,1
1,6,0,1,0.54097,1
1,6,1,1,0.58221,1
1,1,0,1,1.2768,1
1,2,1,1,0.48478,1
1,2,0,1,0.55205,1
1,3,1,1,0.75761,1
1,4,1,1,0.56275,1
1,6,0,1,0.47995,1
1,1,1,1,0.41924,1
1,5,0,1,0.44454,1
1,3,0,1,0.37118,1
1,4,0,1,0.50628,1
1,5,1,1,0.36681,1
1,4,0,1,0.37067,1
1,6,1,1,0.42874,1
1,4,1,1,0.46001,1
1,2,1,1,0.36329,1
1,1,0,1,0.42438,1
1,1,1,1,0.33426,1
1,2,0,1,0.44953,1
1,5,1,1,0.42089,1
1,3,1,1,0.38671,1
1,6,0,1,0.44194,1
1,3,0,1,0.40587,1
1,5,0,1,0.37978,1
1,1,1,1,0.40321,1
1,1,0,1,0.41892,1
1,5,1,1,0.64616,1
1,2,1,1,1.1356,1
1,3,1,1,0.57993,1
1,3,0,1,0.54263,1
1,2,0,1,0.45972,1
1,4,1,1,0.49578,1
1,5,0,1,0.44484,1
1,6,1,1,0.53303,1
1,4,0,1,1.0194,1
1,6,0,1,0.35454,1
1,6,1,1,0.29262,1
1,2,0,1,0.34315,1
1,3,1,1,0.36093,1
1,4,1,1,0.37009,1
1,6,0,1,0.42544,1
1,1,0,1,1.0927,1
1,5,0,1,0.48659,1
1,4,0,1,0.51904,1
1,1,1,0,1.0782,1
1,5,1,1,0.68443,1
1,3,0,0,1.6978,1
1,1,1,0,0.83476,1
1,3,0,1,1.4528,1
1,5,1,1,0.68866,1
1,6,1,1,0.45733,1
1,6,0,1,0.82488,1
1,1,0,0,1.1021,1
1,2,1,0,0.958,1
1,5,0,1,0.63189,1
1,4,1,1,0.48794,1
1,4,0,1,0.56905,1
1,3,1,1,1.0763,1
1,2,0,1,1.3907,1
1,1,1,1,0.81606,1
1,5,0,1,0.55718,1
1,2,1,1,1.4457,1
1,4,0,1,0.8276,1
1,5,1,1,0.47019,1
1,3,1,1,0.69475,1
1,3,0,1,0.68679,1
1,6,0,1,0.52873,1
1,1,0,0,1.2245,1
1,6,1,1,0.56818,1
1,2,0,0,0.76876,1
1,4,1,1,0.51812,1
1,2,0,1,1.1159,1
1,5,1,1,0.51307,1
1,5,0,1,0.54577,1
1,1,1,1,1.133,1
1,3,0,1,0.62685,1
1,3,1,1,0.52749,1
1,4,0,1,0.51498,1
1,6,1,1,0.40216,1
1,6,0,1,0.41498,1
1,2,1,1,0.96809,1
1,2,0,1,1.2434,1
1,2,1,1,0.63418,1
1,3,0,1,0.58507,1
1,4,0,1,0.59431,1
1,5,1,1,0.47445,1
1,1,0,1,0.73896,1
1,5,0,1,0.45894,1
1,1,1,1,1.1621,1
1,6,0,1,0.54248,1
1,3,1,1,1.0797,1
1,6,1,1,0.49169,1
1,4,1,1,0.50156,1
1,6,0,1,0.57212,1
1,4,1,1,0.75073,1
1,5,1,1,0.47266,1
1,6,1,1,0.40585,1
