Subject,Distance,Context,ClassRef,RT,Vis
1,4,1,0,0.52738,1
1,6,0,1,0.49593,1
1,5,1,0,0.35387,1
1,2,1,1,0.24524,1
1,6,1,0,0.44839,1
1,5,0,1,0.32759,1
1,1,0,1,0.65691,1
1,3,0,0,0.18307,1
1,1,1,0,0.26479,1
1,3,1,1,0.31665,1
1,2,0,0,0.40718,1
1,4,0,1,0.33769,1
1,1,1,0,0.45497,1
1,3,1,0,0.35292,1
1,3,0,1,0.48149,1
1,4,0,1,0.5634,1
1,1,0,1,1.4347,1
1,6,1,1,0.31917,1
1,4,1,0,0.45843,1
1,6,0,0,0.65914,1
1,2,0,0,1.0436,1
1,5,1,1,0.45161,1
1,5,0,0,0.75806,1
1,2,1,0,0.55018,1
1,2,0,1,0.38322,1
1,4,0,1,0.36123,1
1,2,1,0,0.47252,1
1,3,0,0,0.24457,1
1,4,1,1,0.21852,1
1,6,0,0,0.21498,1
1,1,0,0,0.18306,1
1,1,1,1,0.24551,1
1,5,1,0,0.30762,1
1,5,0,0,0.22077,1
1,3,1,0,0.36942,1
1,6,1,1,0.33186,1
1,3,0,1,0.46707,1
1,4,1,0,0.33048,1
1,3,1,0,0.54095,1
1,1,1,0,0.26697,1
1,6,0,1,0.39914,1
1,4,0,1,0.44279,1
1,2,1,0,0.50741,1
1,6,1,0,0.56188,1
1,5,0,0,0.28189,1
1,1,0,0,NaN,1
1,2,0,0,0.30162,1
1,5,1,1,0.36625,1
1,5,0,0,0.43228,1
1,2,1,0,0.55998,1
1,3,0,0,0.40324,1
1,1,0,1,0.28991,1
1,4,0,1,0.22781,1
1,3,1,0,0.43115,1
1,1,1,0,0.50039,1
1,6,0,1,0.28019,1
1,5,1,1,0.29281,1
1,6,1,0,0.18307,1
1,4,1,1,0.22468,1
1,2,0,0,0.41923,1
1,4,1,1,0.43194,1
1,3,0,1,0.62304,1
1,1,1,0,0.48023,1
1,2,0,1,0.28292,1
1,3,1,0,0.3188,1
1,4,0,0,0.33879,1
1,5,0,1,0.40142,1
1,1,0,0,0.24068,1
1,2,1,0,0.3307,1
1,6,0,1,0.34909,1
1,5,1,0,0.43904,1
1,6,1,0,0.52708,1
1,3,0,0,0.53105,1
1,1,0,0,0.39213,1
1,3,1,1,0.35548,1
1,6,1,1,0.47677,1
1,2,1,0,0.46874,1
8,3,1,0,1.3698,1
8,2,0,1,1.1524,1
8,1,1,0,0.90413,1
8,6,1,1,1.3809,1
8,2,1,1,1.1992,1
8,6,0,1,1.0994,1
8,5,1,0,1.1238,1
8,1,0,1,1.9528,1
8,4,1,0,1.3895,1
8,4,0,1,0.70334,1
8,3,0,0,1.182,1
8,5,0,0,1.653,1
8,3,1,0,1.0749,1
8,5,0,1,1.2163,1
8,2,1,0,1.4394,1
8,6,0,1,1.4087,1
8,4,0,0,1.4546,1
8,1,1,0,1.2684,1
8,5,1,0,0.71579,1
8,6,1,0,0.96737,1
8,1,0,0,0.83724,1
8,2,0,0,1.4531,1
8,3,0,1,1.0771,1
8,4,1,0,0.71687,1
8,2,0,1,0.66414,1
8,6,0,1,0.65355,1
8,2,1,0,0.46783,1
8,6,1,0,0.71192,1
8,3,1,1,0.5896,1
8,5,0,1,0.97485,1
8,4,0,1,0.87541,1
8,3,0,0,0.68741,1
8,5,1,1,0.70855,1
8,1,1,1,0.93525,1
8,4,1,0,1.351,1
8,1,0,1,0.54821,1
8,5,1,0,0.2616,1
8,2,1,0,0.48937,1
8,6,1,1,0.73529,1
8,2,0,1,0.94713,1
8,1,0,1,0.62774,1
8,4,1,1,1.0144,1
8,5,0,0,0.75176,1
8,6,0,1,0.71781,1
8,1,1,0,0.70279,1
8,3,1,1,0.73993,1
8,3,0,0,1.1158,1
8,4,0,1,0.45437,1
8,2,1,1,0.50362,1
8,5,0,1,0.26498,1
8,1,1,1,0.18307,1
8,3,1,0,0.18307,1
8,1,0,0,0.47205,1
8,6,0,1,0.25271,1
8,6,1,1,0.55509,1
8,5,1,0,0.46434,1
8,3,0,0,0.31505,1
8,4,0,1,1.1083,1
8,2,0,1,0.86942,1
8,4,1,1,0.57683,1
8,5,0,0,0.50118,1
8,4,1,0,0.45991,1
8,3,0,0,0.27646,1
8,4,0,0,0.55629,1
8,5,1,1,1.1806,1
8,2,1,0,0.55137,1
8,1,0,1,0.49618,1
8,6,1,0,0.6786,1
8,1,1,1,0.59775,1
8,2,0,0,0.45649,1
8,3,1,0,0.65166,1
8,6,0,1,1.1732,1
8,1,1,0,0.5854,1
8,5,0,1,0.89473,1
8,6,0,1,0.63319,1
8,1,0,0,0.69121,1
8,3,1,0,0.47173,1
8,4,1,1,0.46572,1
9,6,1,1,1.0289,1
9,6,0,0,0.77345,1
9,2,1,1,0.73734,1
9,4,0,0,0.92723,1
9,3,1,1,0.73513,1
9,1,0,0,0.65515,1
9,1,1,1,0.61572,1
9,5,0,0,0.68093,1
9,2,0,0,0.63477,1
9,5,1,1,0.68008,1
9,4,1,1,0.72989,1
9,3,0,0,1.0046,1
9,4,1,1,0.80366,1
9,6,0,0,0.89291,1
9,2,1,1,0.65232,1
9,3,0,0,0.76271,1
9,1,0,0,0.86263,1
9,4,0,0,0.82402,1
9,1,1,1,0.82187,1
9,5,1,1,0.66629,1
9,5,0,0,0.86548,1
9,3,1,1,0.72676,1
9,6,1,1,0.6788,1
9,2,0,0,0.61657,1
9,1,1,1,0.69448,1
9,2,1,1,0.82237,1
9,1,0,0,1.5763,1
9,4,1,1,0.84071,1
9,4,0,0,1.0087,1
