Subject,Distance,Context,Condition,ClassRef,RT,Vis
1,4,0,0,1,1.1371,1
1,4,1,0,1,0.73049,1
1,5,1,0,0,1.4689,1
1,2,1,0,1,0.82471,1
1,3,1,0,1,1.6368,1
1,5,0,0,1,1.612,1
1,6,1,0,1,1.3364,1
1,6,0,0,0,1.1959,1
1,1,1,0,0,1.3875,1
1,3,0,0,1,1.5251,1
1,5,0,0,0,1.7853,1
1,4,0,0,0,1.3485,1
1,6,0,0,1,1.1973,1
1,1,0,0,0,1.942,1
1,3,1,0,1,1.7275,1
1,2,0,0,0,1.9161,1
1,3,0,0,0,1.1271,1
1,6,0,0,1,1.0572,1
1,2,1,0,1,1.8202,1
1,4,0,0,1,1.1747,1
1,1,0,0,0,1.2618,1
1,4,1,0,1,1.0238,1
1,1,1,0,1,1.1076,1
1,5,1,0,1,1.2414,1
1,6,1,0,0,1.624,1
1,2,0,0,1,1.6837,1
1,1,0,0,1,0.82768,1
1,2,1,0,0,1.1306,1
1,5,1,0,0,1.2276,1
1,3,0,0,0,1.4156,1
1,6,1,0,1,0.79415,1
1,3,1,0,1,0.9752,1
1,4,0,0,0,0.90306,1
1,5,0,0,1,0.76437,1
1,3,1,0,1,0.63857,1
1,5,1,0,0,1.7539,1
1,3,0,0,0,1.1676,1
1,5,0,0,0,1.1616,1
1,1,0,0,0,1.2582,1
1,4,1,0,1,0.64137,1
1,2,1,0,0,0.9507,1
1,2,0,0,1,1.3425,1
1,1,1,0,0,1.4592,1
1,4,0,0,0,0.78625,1
1,6,0,0,0,0.88278,1
1,5,0,0,0,0.78921,1
1,4,1,0,0,0.67976,1
1,1,0,0,0,0.75429,1
1,5,1,0,0,0.62111,1
1,6,0,0,1,0.77009,1
1,3,1,0,0,0.88865,1
1,3,0,0,0,0.64501,1
1,1,1,0,0,1.0097,1
1,2,1,0,0,0.71697,1
1,2,0,0,0,1.4769,1
1,6,1,0,1,0.83344,1
1,4,0,0,0,0.80836,1
1,3,1,0,0,0.6695,1
1,1,0,0,1,1.8118,1
1,1,1,0,1,1.163,1
1,3,0,0,0,1.3902,1
1,2,0,0,1,0.78931,1
1,5,0,0,0,0.73389,1
1,4,1,0,1,1.2903,1
1,4,0,0,0,0.71622,1
1,5,1,0,0,1.3453,1
1,6,1,0,0,1.168,1
1,6,0,0,1,1.2453,1
1,2,1,0,1,1.2044,1
1,3,0,0,1,1.2515,1
1,4,1,0,0,0.8674,1
1,4,0,0,1,1.3574,1
1,1,0,0,0,2.1572,1
1,1,1,0,1,0.86418,1
1,3,1,0,1,0.9503,1
1,6,1,0,1,0.63696,1
1,2,0,0,1,1.2874,1
1,5,1,0,1,1.3698,1
1,2,1,0,1,0.92578,1
1,5,0,0,1,0.71048,1
1,6,0,0,1,1.3282,1
1,6,1,0,1,0.65147,1
1,1,0,0,0,0.92124,1
1,2,1,0,0,0.59265,1
1,2,0,0,0,1.0179,1
1,4,1,0,1,1.1662,1
1,6,0,0,1,0.92471,1
1,1,1,0,0,1.1605,1
1,5,0,0,1,0.87568,1
1,3,0,0,1,0.70232,1
1,4,0,0,0,1.3623,1
1,5,1,0,1,0.79397,1
1,4,0,0,1,1.3454,1
1,6,1,0,1,0.58376,1
1,4,1,0,1,1.426,1
1,2,1,0,0,0.794,1
