Subject,Distance,Context,Condition,ClassRef,RT,Vis
1,3,1,0,1,0.98401,1
1,2,0,0,1,1.8499,1
1,1,1,0,0,0.76243,1
1,6,1,0,0,1.1782,1
1,2,1,0,0,0.68772,1
1,6,0,0,0,0.967,1
1,5,1,0,0,1.2482,1
1,1,0,0,0,1.0114,1
1,4,1,0,1,0.92591,1
1,4,0,0,0,0.69042,1
1,3,0,0,0,0.87351,1
1,5,0,0,1,1.2904,1
1,3,1,0,0,1.1089,1
1,5,0,0,1,1.0293,1
1,2,1,0,0,0.78926,1
1,6,0,0,0,2.1203,1
1,4,0,0,1,1.1469,1
1,1,1,0,0,0.5783,1
1,5,1,0,0,0.51589,1
1,6,1,0,0,1.1713,1
1,1,0,0,0,1.3452,1
1,2,0,0,0,0.74757,1
1,3,0,0,1,1.3814,1
1,4,1,0,0,0.82495,1
1,2,0,0,1,0.73281,1
1,6,0,0,1,0.66466,1
1,2,1,0,0,0.70187,1
1,6,1,0,1,0.8851,1
1,3,1,0,0,0.91308,1
1,5,0,0,0,0.67757,1
1,4,0,0,0,0.50951,1
1,3,0,0,1,0.75604,1
1,5,1,0,0,0.4993,1
1,1,1,0,0,0.43381,1
1,4,1,0,0,0.55648,1
1,1,0,0,1,0.54109,1
1,5,1,0,0,0.54695,1
1,2,1,0,0,0.86621,1
1,6,1,0,0,0.67124,1
1,2,0,0,0,0.60164,1
1,1,0,0,1,0.79328,1
1,4,1,0,0,0.52918,1
1,5,0,0,1,0.4711,1
1,6,0,0,1,0.78837,1
1,1,1,0,0,0.42495,1
1,3,1,0,0,0.43186,1
1,3,0,0,0,0.56972,1
1,4,0,0,1,0.27114,1
1,2,1,0,0,0.34159,1
1,5,0,0,0,0.27888,1
1,1,1,0,0,0.45838,1
1,3,1,0,0,0.52695,1
1,1,0,0,0,0.40285,1
1,6,0,0,0,0.4774,1
1,6,1,0,1,0.68853,1
1,5,1,0,0,0.45658,1
1,3,0,0,1,0.32775,1
1,4,0,0,1,0.35708,1
1,2,0,0,0,0.35938,1
1,4,1,0,0,0.43161,1
1,5,0,0,0,0.23556,1
1,4,1,0,0,0.62472,1
1,3,0,0,1,0.53067,1
1,4,0,0,0,0.54473,1
1,5,1,0,0,0.42037,1
1,2,1,0,0,0.71899,1
1,1,0,0,1,0.53361,1
1,6,1,0,1,0.54747,1
1,1,1,0,0,0.49535,1
1,2,0,0,1,0.42455,1
1,3,1,0,0,0.98454,1
1,6,0,0,1,0.83121,1
1,1,1,0,1,0.28166,1
1,5,0,0,1,0.70719,1
1,6,0,0,1,0.98079,1
1,1,0,0,1,0.88205,1
1,3,1,0,0,0.90053,1
1,4,1,0,0,1.0032,1
2,6,1,0,0,1.3112,1
2,6,0,0,0,0.55981,1
2,2,1,0,1,0.80864,1
2,4,0,0,1,0.54233,1
2,3,1,0,0,0.5884,1
2,1,0,0,1,0.83102,1
2,1,1,0,0,0.66892,1
2,5,0,0,0,0.55619,1
2,2,0,0,1,0.50329,1
2,5,1,0,0,0.54938,1
2,4,1,0,0,0.69856,1
2,3,0,0,1,0.61174,1
2,4,1,0,0,3.9089,1
2,6,0,0,1,0.66072,1
2,2,1,0,0,0.5906,1
2,3,0,0,1,0.60849,1
2,1,0,0,1,0.58648,1
2,4,0,0,0,0.47957,1
2,1,1,0,0,0.63476,1
2,5,1,0,0,0.50682,1
2,5,0,0,1,0.41881,1
2,3,1,0,0,0.36072,1
2,6,1,0,0,0.37982,1
2,2,0,0,1,0.44658,1
2,1,1,0,0,0.28921,1
2,2,1,0,0,0.28149,1
2,1,0,0,1,0.28154,1
2,4,1,0,0,0.2755,1
2,4,0,0,1,0.27746,1
2,6,0,0,1,0.26264,1
2,3,0,0,1,0.19325,1
2,5,1,0,0,0.24705,1
2,5,0,0,1,0.28046,1
2,2,0,0,1,0.45451,1
2,6,1,0,0,2.1576,1
2,3,1,0,1,0.67757,1
2,3,0,0,1,0.38803,1
2,4,1,0,1,0.47053,1
2,3,1,0,1,1.7212,1
2,5,1,0,0,0.42838,1
2,1,0,0,1,0.50487,1
2,6,1,0,0,0.50212,1
2,6,0,0,1,0.40213,1
2,5,0,0,0,0.44081,1
2,1,1,0,1,1.1619,1
2,2,1,0,1,1.1773,1
2,2,0,0,0,0.60521,1
2,4,0,0,0,1.3189,1
2,2,1,0,1,0.47077,1
2,4,1,0,1,0.47149,1
2,5,0,0,1,0.38724,1
2,1,1,0,0,0.3541,1
2,3,0,0,0,0.66583,1
2,6,1,0,1,0.58513,1
2,1,0,0,1,0.44754,1
2,6,0,0,0,0.39627,1
2,3,1,0,1,0.63086,1
2,5,1,0,1,0.42736,1
2,4,0,0,0,0.30673,1
2,2,0,0,0,0.29738,1
2,2,1,0,1,0.24285,1
2,2,0,0,0,0.42714,1
2,5,1,0,0,0.42092,1
2,1,0,0,0,0.98893,1
2,6,0,0,1,0.59752,1
2,1,1,0,0,0.55471,1
2,3,0,0,0,0.33466,1
2,3,1,0,1,0.31927,1
2,5,0,0,0,0.31517,1
2,6,1,0,1,0.27645,1
2,4,1,0,1,0.28896,1
2,4,0,0,0,0.45302,1
2,6,1,0,1,0.49159,1
2,2,1,0,1,0.44398,1
2,1,0,0,1,0.42672,1
2,3,0,0,1,0.62064,1
3,6,0,0,0,1.0533,1
3,5,0,0,1,1.0614,1
3,6,1,0,0,1.0585,1
3,4,0,0,1,0.73716,1
3,3,0,0,0,1.0949,1
3,3,1,0,1,0.83365,1
3,1,1,0,1,0.89279,1
3,2,0,0,0,0.98077,1
3,5,1,0,1,0.75739,1
3,2,1,0,1,0.54971,1
3,4,1,0,1,0.50038,1
3,1,0,0,0,0.48495,1
3,3,1,0,1,0.73755,1
3,6,0,0,0,0.53824,1
3,4,1,0,1,0.90869,1
3,1,0,0,0,0.6486,1
3,2,1,0,1,0.5505,1
3,2,0,0,0,0.65506,1
3,5,1,0,1,0.61395,1
3,3,0,0,0,0.53651,1
3,5,0,0,0,0.54731,1
3,6,1,0,1,0.56712,1
3,4,0,0,1,0.69736,1
3,1,1,0,1,0.84657,1
3,6,0,0,0,0.54576,1
3,2,1,0,1,0.55621,1
3,4,0,0,0,0.48209,1
3,1,0,0,0,0.44757,1
3,3,0,0,0,0.48219,1
3,3,1,0,1,0.56611,1
3,5,0,0,0,0.49599,1
3,6,1,0,1,0.54591,1
3,2,0,0,0,0.56665,1
3,1,1,0,0,0.75019,1
3,5,1,0,1,0.75363,1
3,4,1,0,1,0.66212,1
3,4,0,0,1,0.53616,1
3,4,1,0,0,0.76404,1
3,1,1,0,0,0.44578,1
3,2,1,0,0,0.58781,1
3,2,0,0,0,2.133,1
3,3,1,0,0,0.48942,1
3,6,0,0,1,0.418,1
3,5,1,0,0,0.39143,1
3,3,0,0,1,0.90721,1
3,5,0,0,1,0.52855,1
3,1,0,0,1,0.32574,1
3,6,1,0,0,3.089,1
3,3,0,0,1,0.38006,1
3,1,1,0,0,0.45609,1
3,2,1,0,0,0.50938,1
3,4,1,0,0,0.44997,1
3,1,0,0,1,0.95717,1
3,6,0,0,1,0.49644,1
3,6,1,0,0,0.46358,1
3,5,1,0,0,0.31288,1
3,3,1,0,0,0.18536,1
3,5,0,0,1,0.37273,1
3,4,0,0,1,0.21989,1
3,2,0,0,1,0.32058,1
3,1,1,0,0,0.26065,1
3,5,0,0,1,0.49114,1
3,1,0,0,1,0.51023,1
3,5,1,0,0,0.43216,1
3,2,1,0,0,0.27064,1
3,4,0,0,1,0.33737,1
3,2,0,0,1,0.22327,1
3,6,0,0,1,0.33459,1
3,6,1,0,0,0.3379,1
3,4,1,0,0,0.24576,1
3,3,0,0,1,0.5611,1
3,3,1,0,0,0.28018,1
3,6,0,0,0,0.7869,1
3,2,1,0,0,0.47335,1
3,5,1,0,0,0.8733,1
3,6,1,0,1,0.53448,1
3,4,0,0,1,0.49178,1
3,3,0,0,1,0.43787,1
4,4,0,0,1,0.7617,1
4,1,0,0,1,0.60534,1
4,5,0,0,0,0.6058,1
4,5,1,0,1,0.37372,1
4,6,0,0,0,0.4843,1
4,1,1,0,0,0.36836,1
4,3,1,0,0,0.203,1
4,2,0,0,1,0.18309,1
4,6,1,0,1,0.25215,1
4,3,0,0,0,0.1831,1
4,2,1,0,1,0.97936,1
4,4,1,0,1,0.38516,1
4,3,0,0,0,0.25246,1
4,6,1,0,1,0.34488,1
4,3,1,0,1,0.21083,1
4,6,0,0,1,0.3182,1
4,2,0,0,1,0.33478,1
4,1,0,0,1,0.33392,1
4,5,1,0,0,0.22245,1
4,5,0,0,1,0.18312,1
4,1,1,0,1,0.33437,1
4,2,1,0,1,0.47099,1
4,4,1,0,1,0.33355,1
4,4,0,0,0,0.29291,1
4,6,1,0,1,0.26085,1
4,3,0,0,1,0.31803,1
4,3,1,0,0,0.2453,1
4,4,1,0,0,0.27187,1
4,2,1,0,0,0.20963,1
4,6,0,0,0,NaN,1
4,5,1,0,1,0.24631,1
4,5,0,0,0,0.41965,1
4,1,1,0,1,0.26209,1
4,4,0,0,0,0.19319,1
4,2,0,0,0,0.27048,1
4,1,0,0,1,0.22522,1
4,3,1,0,0,0.18309,1
4,2,0,0,1,0.18309,1
4,6,1,0,0,0.18309,1
4,1,0,0,1,0.18308,1
4,3,0,0,1,0.18309,1
4,2,1,0,0,0.1831,1
4,1,1,0,1,NaN,1
4,4,1,0,1,0.34393,1
4,6,0,0,0,0.18311,1
4,4,0,0,0,0.35112,1
4,5,0,0,0,0.52768,1
4,5,1,0,1,0.43559,1
4,1,0,0,1,0.24144,1
4,6,1,0,1,0.49952,1
4,1,1,0,0,0.18457,1
4,6,0,0,1,0.494,1
4,2,1,0,1,0.66936,1
4,5,1,0,0,0.36519,1
4,4,0,0,1,1.8077,1
4,3,1,0,0,0.41439,1
