d_prime,acc
-0.4613,0.4125
0.17503,0.5375
0.0047238,0.5
0.10378,0.525
-0.3122,0.4375
0.36489,0.575
-0.32784,0.45
-0.42852,0.4125
-0.0067347,0.5125
-0.11908,0.475
0.37199,0.525
0.27912,0.55
0.6078,0.6
0.025954,0.5
-0.1173,0.475
-0.33063,0.4375
0.25892,0.55
-0.041839,0.4875
0.43364,0.5875
0.031195,0.5
-0.35458,0.425
0.12573,0.525
-0.12769,0.475
0.48537,0.5875
-0.24077,0.5125
0.23153,0.55
-0.26042,0.4625
0.38664,0.575
0.0477,0.5125
0.053636,0.5125
-0.18839,0.4625
0.18839,0.5375
0.078719,0.525
-0.018346,0.5
