d_prime_cat,d_prime_lex,acc_cat,acc_lex
-0.8587,0,0.35897,0.5
0.13468,-0.16464,0.52632,0.47368
0,-0.20098,0.5,0.46053
0.16257,-0.15562,0.53247,0.46512
0,-0.12924,0.5,0.47436
-0.29039,0.074139,0.44872,0.52564
0.074356,-0.42261,0.51282,0.42105
0.13974,-0.45476,0.51948,0.41026
-0.066301,-0.19301,0.48684,0.46053
0.065732,0,0.52439,0.5
-0.019883,0.094185,0.48718,0.51282
-0.31018,-0.1412,0.5,0.47436
-0.074356,-0.010086,0.48718,0.49351
0.48659,0,0.57692,0.5
-0.52023,0,0.51807,0.5
0.34011,-0.027803,0.52564,0.48193
0.29323,-0.12064,0.52632,0.48052
-0.51185,-0.1287,0.48052,0.47436
0.032142,0.33738,0.50649,0.56579
0.21038,-0.11833,0.53846,0.47436
0.064417,-0.18931,0.51282,0.46341
-0.61994,-0.20384,0.38961,0.46154
-0.010086,0,0.49351,0.5
0.22141,0.034466,0.53947,0.51316
0.094208,-0.31808,0.51948,0.48684
-0.26464,-0.069044,0.44872,0.48684
0.28249,-0.24668,0.51282,0.46154
0,-0.019883,0.5,0.48718
0,0.29229,0.5,0.51899
0.19682,0.15413,0.53846,0.52632
0.79193,-0.070686,0.65385,0.48684
-0.082857,-0.10264,0.48684,0.48052
0.1482,0.06782,0.52632,0.51282
0.19474,0.20098,0.53846,0.53947
