WordNum,Cong,Word,Google,Linzen,Frost,Concreteness,Type
1,1,citrus,4580000,39,37,4.21,'Noun'
2,1,blade,2180000,3,22,4.93,'Noun'
3,1,light,19800000,151,153,4.21,'Noun'
4,1,butcher,2990000,20,80,4.65,'Noun'
5,1,money,22100000,270,232,4.54,'Noun'
6,1,ash,1950000,8,14,4.96,'Name'
7,1,dust,2440000,27,17,4.4,'Noun'
8,1,note,582000,16,39,4.61,'Noun'
9,1,hopped,667000,16,8,3.8,'Verb'
10,1,grew,2110000,19,55,3.52,'Verb'
11,1,Saturday,20000000,229,549,3.07,'#N/A'
12,1,leg,7990000,44,49,4.83,'Noun'
13,1,second,34300000,669,962,3.3,'Noun'
14,1,dog,4430000,60,27,4.85,'Noun'
1,0,soup,4050000,30,59,4.72,'Noun'
2,0,beef,4760000,4,22,4.74,'Noun'
3,0,man,16900000,170,349,4.79,'Noun'
4,0,noise,2170000,51,24,3.52,'Noun'
5,0,small,108000000,344,216,3.22,'Adjective'
6,0,shock,1800000,10,13,4,'Noun'
7,0,male,5700000,33,22,4.45,'Adjective'
8,0,snake,1990000,14,8,5,'Noun'
9,0,butcher,5700000,33,22,4.65,'Noun'
10,0,loved,2990000,20,80,,
11,0,meter,932000,28,18,4.7,'Noun'
12,0,again,8630000,51,108,2,'Adverb'
13,0,net,17700000,999,321,4.53,'Noun'
14,0,male,7340000,19,789,4.45,'Adjective'
