exp;subj;alpha;task;instr;prime_cond;prime_stim;resp1;resp2;resp2_pre;RT;correct
1;1;,5;0; ;1;7;0;1;1;,910288039401621;1
1;1;,5;0; ;3;26;1;1;3;,67893908303995;1
1;1;,5;0; ;2;20;0;1;4;,69424465958673;1
1;1;,5;0; ;1;4;0;1;2;,572855209251429;1
1;1;,5;0; ;1;5;1;1;1;,618355964235434;0
1;1;,5;0; ;3;28;1;1;1;,590947732183395;1
1;1;,5;0; ;4;31;0;1;4;,716330706835834;0
1;1;,5;0; ;1;9;1;1;3;,702077778041712;0
1;1;,5;0; ;3;27;0;1;2;,442117084713118;0
1;1;,5;0; ;3;22;0;1;2;,579947451421958;0
1;1;,5;0; ;3;26;1;1;3;,59921693958313;1
1;1;,5;0; ;1;2;1;1;1;,434468067868693;0
1;1;,5;0; ;1;9;1;1;2;,763859373188552;0
1;1;,5;0; ;1;1;1;1;3;,771648351955264;0
1;1;,5;0; ;3;27;1;1;4;,646270685240779;1
1;1;,5;0; ;4;34;0;1;2;,484177178943355;0
1;1;,5;0; ;3;29;0;1;2;,398167923577148;0
1;1;,5;0; ;3;24;1;1;1;,736235471267719;1
1;1;,5;0; ;2;14;0;1;4;,718028408638475;1
1;1;,5;0; ;2;11;0;1;4;1,00140045732041;1
1;1;,5;0; ;1;5;1;1;1;,636193426818409;0
1;1;,5;0; ;2;20;0;1;3;,43082235312022;1
1;1;,5;0; ;4;33;1;1;2;,64853438076625;1
1;1;,5;0; ;3;29;0;1;3;,487078944391214;0
1;1;,5;0; ;3;26;1;1;3;,528823635405843;1
1;1;,5;0; ;4;34;0;1;1;,451938165325828;0
1;1;,5;0; ;2;15;1;1;2;,391862652935288;0
1;1;,5;0; ;3;28;1;1;3;,526042835052976;1
1;1;,5;0; ;3;25;0;1;4;,561310725245676;0
1;1;,5;0; ;2;20;0;1;3;,386123096650408;1
1;1;,5;0; ;2;14;1;1;2;,318957577010679;0
1;1;,5;0; ;4;34;0;1;4;,382288810449609;0
1;1;,5;0; ;3;25;0;1;4;,412875658777921;0
1;1;,5;0; ;2;13;1;1;2;,387109255505948;0
1;1;,5;0; ;2;15;1;1;4;,25943548691248;0
1;1;,5;0; ;2;19;0;1;3;,285729052156057;1
1;1;,5;0; ;4;35;0;1;1;,373239336284314;0
1;1;,5;0; ;1;7;0;1;4;,473875310968197;1
1;1;,5;0; ;3;23;1;1;3;,315447074977783;1
1;1;,5;0; ;3;22;1;1;2;,426598631948764;1
1;1;,5;0; ;1;8;1;1;2;,564891906652974;0
1;1;,5;0; ;1;6;0;1;1;,357098737409615;1
1;1;,5;0; ;1;4;1;1;1;,536058074420453;0
1;1;,5;0; ;1;6;0;1;1;,441871802142487;1
1;1;,5;0; ;1;2;1;1;2;,337687890499637;0
1;1;,5;0; ;1;6;0;1;1;,362780465115065;1
1;1;,5;0; ;1;10;1;1;2;,553388209953937;0
1;1;,5;0; ;4;40;1;1;1;,480689584849642;1
1;1;,5;0; ;2;15;0;1;2;,330169895894414;1
1;1;,5;0; ;2;14;1;1;1;,578131019445209;0
1;1;,5;0; ;3;29;1;1;2;,601498514476134;1
1;1;,5;0; ;4;36;0;2;3;,430249375269796;0
1;1;,5;0; ;2;17;1;1;2;,669900504114594;0
1;1;,5;0; ;2;11;0;1;2;1,12456834597697;1
1;1;,5;0; ;3;28;0;1;3;,4367686395899;0
1;1;,5;0; ;2;11;1;1;2;,53536245528403;0
1;1;,5;0; ;4;31;0;1;2;,479017305272009;0
1;1;,5;0; ;4;37;1;1;4;,523027368003568;1
1;1;,5;0; ;2;12;1;1;2;1,23804841118044;0
1;1;,5;0; ;3;26;0;1;4;,638801858895476;0
1;1;,5;0; ;1;5;0;1;1;,589524087558857;1
1;1;,5;0; ;3;22;1;1;1;,796806856737021;1
1;1;,5;0; ;2;18;0;1;2;,592091732329209;1
1;1;,5;0; ;1;5;0;1;2;,568337595979301;1
1;1;,5;0; ;3;23;1;1;1;,608546896323332;1
1;1;,5;0; ;2;19;0;1;3;,491066881405459;1
1;1;,5;0; ;4;40;1;1;4;,723931672880553;1
1;1;,5;0; ;4;34;0;1;4;,582078448518132;0
1;1;,5;0; ;3;26;0;1;4;,725148028589956;0
1;1;,5;0; ;1;9;1;1;2;,469399602463454;0
1;1;,5;0; ;4;31;0;1;3;,723203647391074;0
1;1;,5;0; ;4;37;1;1;1;,552339193947773;1
1;1;,5;0; ;2;17;1;1;1;,856490978601869;0
1;1;,5;0; ;4;31;0;1;1;,64714509805026;0
1;1;,5;0; ;1;6;0;1;4;,744709453296764;1
1;1;,5;0; ;4;34;1;1;2;,484975604440933;1
1;1;,5;0; ;2;13;0;1;4;,470089354932043;1
1;1;,5;0; ;4;34;0;1;2;,7736047458543;0
1;1;,5;0; ;2;14;1;1;4;,611603988775187;0
1;1;,5;0; ;1;4;1;1;1;,431649832590665;0
1;1;,5;0; ;3;28;0;1;1;,9373381253763;0
1;1;,5;0; ;4;32;1;1;3;,513604103315174;1
1;1;,5;0; ;2;14;1;1;4;,909099340838111;0
1;1;,5;0; ;3;23;0;1;4;,486131337921506;0
1;1;,5;0; ;3;25;0;1;4;,592973687996619;0
1;1;,5;0; ;1;2;1;1;3;,498781269686788;0
1;1;,5;0; ;4;40;1;1;1;,408351340742684;1
1;1;,5;0; ;2;15;1;1;1;,725060866674085;0
1;1;,5;0; ;4;40;0;1;1;,617951443549373;0
1;1;,5;0; ;4;32;1;1;4;,428078428962635;1
1;1;,5;0; ;2;16;0;1;1;,410130896524606;1
1;1;,5;0; ;4;31;1;1;2;,761256807778864;1
1;1;,5;0; ;4;37;0;1;4;,667850522901972;0
1;1;,5;0; ;1;2;1;1;3;,439032055750431;0
1;1;,5;0; ;1;4;0;1;1;,511225588727029;1
1;1;,5;0; ;1;8;1;1;2;,351720120853315;0
1;1;,5;0; ;4;32;0;1;2;,502965600376683;0
1;1;,5;0; ;4;31;1;1;1;,536285477623551;1
1;1;,5;0; ;3;28;0;2;3;,506980635807395;0
1;1;,5;0; ;2;14;1;1;2;,437764017493919;0
1;2;,8611;0; ;3;22;1;1;4;1,54793807592887;0
1;2;,8611;0; ;4;35;0;1;3;2,31257827461286;1
1;2;,8611;0; ;3;22;1;1;4;,957569188262823;0
1;2;,8611;0; ;2;11;1;1;1;,796824177374219;1
1;2;,8611;0; ;2;15;0;1;3;1,23784922385403;0
1;2;,8611;0; ;1;9;1;1;2;1,02079593914914;1
1;2;,8611;0; ;3;28;0;1;1;,810368356872459;1
1;2;,8611;0; ;1;10;1;1;1;,738240195332764;1
