"","id","cond","aware","addcno","addino","addnooutliers","addcrx","addclrx","addirx","addilrx","subcno","subino","subnooutliers","subcrx","subclrx","subirx","subilrx","Purpose","ExplicitAware","Type","pass","completeunaware","awareness","eye","block","filter_$","addpro","subpro","addout","subout"
"1",1173,2,0.453125,19,20,22,1237.166667,7.074899282,1233.3,7.093574437,24,24,48,818.2083333,6.681405586,780.875,6.64965674,2,1,2,1,0,0,1,1,0,0.609375,1,0.34375,1
"2",1176,3,0.53125,9,7,10,1142,7.013396565,1118,6.967122231,2,4,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0.25,0.125,0.15625,0
"3",1027,2,0.578125,32,32,60,509.8,6.229345122,503.3666667,6.214718156,24,24,48,492.2916667,6.195711988,491.2083333,6.193221812,0,0,0,1,0,0,1,1,0,1,1,0.9375,1
"4",1120,3,0.5,32,32,62,658.483871,6.45730407,615.1935484,6.401820893,24,24,48,679.7083333,6.506326106,706.0833333,6.542503512,0,0,0,1,0,0,0,0,0,1,1,0.96875,1
"5",1010,3,0.5,32,32,64,442.6875,6.086479806,456.0625,6.118551009,24,24,47,470.4347826,6.149410173,466.4583333,6.143052311,2,2,0,1,1,1,0,0,1,1,1,1,0.979166666666667
"6",1011,2,0.40625,32,32,63,503.46875,6.21487498,522.3870968,6.25193818,24,24,46,548.5909091,6.298744879,512.25,6.226529339,2,2,0,1,1,1,1,1,1,1,1,0.984375,0.958333333333333
"7",1014,4,0.53125,32,32,62,498.1,6.203044559,513.6875,6.235498339,24,24,48,513.5416667,6.236926093,511.0833333,6.232112019,2,2,0,1,1,1,1,0,1,1,1,0.96875,1
"8",1020,4,0.515625,32,32,64,421.0625,6.03778199,412.375,6.017217696,24,24,47,428.125,6.056562342,427.173913,6.055520107,2,2,0,1,1,1,1,0,1,1,1,1,0.979166666666667
"9",1023,4,0.5,32,32,64,574.59375,6.337244084,587.3125,6.367824172,24,24,47,541.2916667,6.279625896,573,6.340034466,2,2,0,1,1,1,1,0,1,1,1,1,0.979166666666667
"10",1024,4,0.484375,32,32,64,639.53125,6.45499796,647.875,6.466258339,24,24,46,701.2916667,6.540995588,653.5454545,6.473688859,2,2,0,1,1,1,1,0,1,1,1,1,0.958333333333333
