Subj,Cond,Block,Trial,Order,prim,real result,distance,target,congruent,Resp,Name,Stim,RT,Correct,
1183,3,5,1,84,x,x,,9-2-1e,x,-1, 5.wav,9-2-1e.bmp,2114,TRUE,
1183,3,5,2,21,x,x,,3-2-1e,x,-1, 6.wav,3-2-1e.bmp,6084,TRUE,
1183,3,5,3,82,x,x,,6-2-1e,x,-1, 7.wav,6-2-1e.bmp,3315,TRUE,
1183,3,5,4,19,x,x,,6-4-1e,x,-1, 8.wav,6-4-1e.bmp,4253,TRUE,
1183,3,5,0,9,x,x,,x,inst,1,1,fin.bmp,12315,TRUE,
1183,3,5,0,10,x,x,,x,inst,1,1,getready.bmp,1449,TRUE,
1183,3,5,5,14,x,x,,4-1-2e,x,-1, 11.wav,4-1-2e.bmp,3414,TRUE,
1183,3,5,6,83,x,x,,5-1-2e,x,-1, 12.wav,5-1-2e.bmp,1984,TRUE,
1183,3,5,7,12,x,x,,6-3-1e,x,-1, 13.wav,6-3-1e.bmp,3904,TRUE,
1183,3,5,8,16,x,x,,9-3-5e,x,-1, 14.wav,9-3-5e.bmp,2494,TRUE,
1183,3,5,9,8,x,x,,6-1-3e,x,-1, 15.wav,6-1-3e.bmp,4863,TRUE,
1183,3,5,10,7,x,x,,7-2-2e,x,-1, 16.wav,7-2-2e.bmp,2994,TRUE,
1183,3,5,11,17,x,x,,6-2-3e,x,-1, 17.wav,6-2-3e.bmp,3223,TRUE,
1183,3,5,12,20,x,x,,9-3-6e,x,-1, 18.wav,9-3-6e.bmp,2804,TRUE,
1183,3,5,13,5,x,x,,6-2-4e,x,-1, 19.wav,6-2-4e.bmp,4713,TRUE,
1183,3,5,14,15,x,x,,4-1-3e,x,-1, 20.wav,4-1-3e.bmp,2644,TRUE,
1183,3,5,15,11,x,x,,8-2-3e,x,-1, 21.wav,8-2-3e.bmp,3504,TRUE,
1183,3,5,0,22,x,x,,x,inst,1,1,fin.bmp,31461,TRUE,
1183,3,6,0,23,x,x,,x,inst,1,1,getready.bmp,899,TRUE,
1183,3,6,1,24,x,x,,x,x,-1, 24.wav,1.bmp,534,TRUE,
1183,3,6,2,27,x,x,,x,x,-1, 25.wav,5.bmp,563,TRUE,
1183,3,6,3,26,x,x,,x,x,-1, 26.wav,9.bmp,473,TRUE,
1183,3,6,4,25,x,x,,x,x,-1, 27.wav,13.bmp,525,TRUE,
1183,3,6,0,28,x,x,,x,inst,1,1,fin.bmp,6088,TRUE,
1183,3,7,0,29,x,x,,x,inst,1,1,getready.bmp,663,TRUE,
1183,3,7,1,64,7/2/2005,0,0,0,TRUE,-1, 30.wav,0.bmp,584,TRUE,1
1183,3,7,2,32,6/5/2001,0,0,0,TRUE,-1, 31.wav,0.bmp,474,TRUE,1
1183,3,7,3,62,7/3/2004,0,-1,1,FALSE,-1, 32.wav,1.bmp,524,TRUE,1
1183,3,7,4,70,8/6/2002,0,-3,3,FALSE,-1, 33.wav,3.bmp,514,TRUE,1
1183,3,7,5,47,5/2/2003,0,-1,1,FALSE,-1, 34.wav,1.bmp,544,TRUE,1
1183,3,7,6,72,9/5/2004,0,0,0,TRUE,-1, 35.wav,0.bmp,524,TRUE,1
1183,3,7,7,67,8/3/2005,0,0,0,TRUE,-1, 36.wav,0.bmp,525,TRUE,1
1183,3,7,8,55,8/1/2007,0,-3,3,FALSE,-1, 37.wav,3.bmp,464,TRUE,1
1183,3,7,9,34,7/2/2004,1,0,1,TRUE,-1, 38.wav,1.bmp,505,TRUE,1
1183,3,7,10,53,8/5/2002,1,0,1,TRUE,-1, 39.wav,1.bmp,385,TRUE,1
1183,3,7,11,39,8/3/2004,1,1,0,FALSE,-1, 40.wav,0.bmp,433,TRUE,1
1183,3,7,12,36,7/4/2002,1,1,0,FALSE,-1, 41.wav,0.bmp,414,TRUE,1
1183,3,7,13,66,9/6/2002,1,0,1,TRUE,-1, 42.wav,1.bmp,585,TRUE,1
1183,3,7,14,40,5/2/2002,1,0,1,TRUE,-1, 43.wav,1.bmp,504,TRUE,1
1183,3,7,15,43,8/2/2005,1,-3,4,FALSE,-1, 44.wav,4.bmp,694,TRUE,1
1183,3,7,16,51,9/2/2006,1,-3,4,FALSE,-1, 45.wav,4.bmp,504,TRUE,1
1183,3,7,17,54,4/1/2001,2,0,2,TRUE,-1, 46.wav,2.bmp,484,TRUE,1
1183,3,7,18,31,9/1/2006,2,-1,3,FALSE,-1, 47.wav,3.bmp,554,TRUE,1
1183,3,7,19,59,8/5/2001,2,-1,3,FALSE,-1, 48.wav,3.bmp,545,TRUE,1
1183,3,7,20,56,8/1/2005,2,0,2,TRUE,-1, 49.wav,2.bmp,533,TRUE,1
1183,3,7,21,73,7/4/2001,2,0,2,TRUE,-1, 50.wav,2.bmp,584,TRUE,1
1183,3,7,22,49,8/3/2003,2,-3,5,FALSE,-1, 51.wav,5.bmp,474,TRUE,1
1183,3,7,23,48,9/3/2004,2,-3,5,FALSE,-1, 52.wav,5.bmp,664,TRUE,1
1183,3,7,24,44,7/1/2004,2,0,2,TRUE,-1, 53.wav,2.bmp,603,TRUE,1
1183,3,7,25,38,5/1/2001,3,0,3,TRUE,-1, 54.wav,3.bmp,494,TRUE,1
1183,3,7,26,30,9/5/2001,3,0,3,TRUE,-1, 55.wav,3.bmp,544,TRUE,1
1183,3,7,27,50,6/1/2002,3,3,0,FALSE,-1, 56.wav,0.bmp,524,TRUE,1
1183,3,7,28,42,8/1/2004,3,0,3,TRUE,-1, 57.wav,3.bmp,514,TRUE,1
1183,3,7,29,77,8/1/2004,3,1,2,FALSE,-1, 58.wav,2.bmp,523,TRUE,1
1183,3,7,30,74,9/4/2002,3,3,0,FALSE,-1, 59.wav,0.bmp,474,TRUE,1
1183,3,7,31,35,9/2/2004,3,0,3,TRUE,-1, 60.wav,3.bmp,555,TRUE,1
1183,3,7,32,60,9/1/2005,3,1,2,FALSE,-1, 61.wav,2.bmp,494,TRUE,1
1183,3,7,33,58,6/1/2001,4,0,4,TRUE,-1, 62.wav,4.bmp,504,TRUE,1
1183,3,7,34,52,9/2/2003,4,3,1,FALSE,-1, 63.wav,1.bmp,504,TRUE,1
1183,3,7,35,63,8/3/2001,4,0,4,TRUE,-1, 64.wav,4.bmp,544,TRUE,1
1183,3,7,36,37,7/1/2002,4,-1,5,FALSE,-1, 65.wav,5.bmp,494,TRUE,1
1183,3,7,37,69,8/2/2002,4,0,4,TRUE,-1, 66.wav,4.bmp,524,TRUE,1
1183,3,7,38,33,9/3/2002,4,0,4,TRUE,-1, 67.wav,4.bmp,505,TRUE,1
1183,3,7,39,75,8/1/2003,4,-1,5,FALSE,-1, 68.wav,5.bmp,484,TRUE,1
1183,3,7,40,46,9/2/2003,4,3,1,FALSE,-1, 69.wav,1.bmp,464,TRUE,1
1183,3,7,41,65,7/1/2001,5,0,5,TRUE,-1, 70.wav,5.bmp,515,TRUE,1
1183,3,7,42,68,8/2/2001,5,0,5,TRUE,-1, 71.wav,5.bmp,444,TRUE,1
1183,3,7,43,41,9/3/2001,5,3,2,FALSE,-1, 72.wav,2.bmp,534,TRUE,1
1183,3,7,44,76,8/1/2002,5,1,4,FALSE,-1, 73.wav,4.bmp,575,TRUE,1
1183,3,7,45,61,9/3/2001,5,0,5,TRUE,-1, 74.wav,5.bmp,604,TRUE,1
1183,3,7,46,71,9/1/2003,5,0,5,TRUE,-1, 75.wav,5.bmp,514,TRUE,1
1183,3,7,47,45,7/1/2001,5,3,2,FALSE,-1, 76.wav,2.bmp,594,TRUE,1
1183,3,7,48,57,9/2/2002,5,1,4,FALSE,-1, 77.wav,4.bmp,504,TRUE,1
1183,3,7,0,78,x,x,,x,inst,1,1,fin.bmp,26860,TRUE,
1183,3,4,0,79,x,x,,x,inst,1,1,getready.bmp,765,TRUE,
1183,3,6,1,80,x,x,,5-4-1e,x,-1, 80.wav,5-4-1e.bmp,2714,TRUE,
1183,3,6,2,18,x,x,,7-5-2e,x,-1, 81.wav,7-5-2e.bmp,2603,TRUE,
1183,3,6,3,81,x,x,,8-2-6e,x,-1, 82.wav,8-2-6e.bmp,2225,TRUE,
1183,3,6,4,6,x,x,,9-8-1e,x,-1, 83.wav,9-8-1e.bmp,3723,TRUE,
1183,3,6,5,13,x,x,,6-1-5e,x,-1, 84.wav,6-1-5e.bmp,2483,TRUE,
1183,3,4,0,85,x,x,,x,inst,1,1,fin.bmp,2755,TRUE,
1183,3,5,0,86,x,x,,x,inst,1,1,getready.bmp,527,TRUE,
1183,3,1,1,88,x,x,,1+3+7,x,-1, 87.wav,1+3+7e.bmp,6023,TRUE,
1183,3,1,2,179,x,x,,5+2+3,x,-1, 88.wav,5+2+3e.bmp,1604,TRUE,
1183,3,1,3,99,x,x,,4+1+3,x,-1, 89.wav,4+1+3e.bmp,3433,TRUE,
1183,3,1,4,182,x,x,,6+3+4,x,-1, 90.wav,6+3+4e.bmp,3264,TRUE,
1183,3,1,0,91,x,x,,x,inst,1,1,fin.bmp,12364,TRUE,
1183,3,1,0,92,x,x,,x,inst,1,1,getready.bmp,444,TRUE,
1183,3,1,5,178,x,x,,7+2+5,x,-1, 93.wav,7+2+5e.bmp,3914,TRUE,
1183,3,1,6,90,x,x,,3+2+7,x,-1, 94.wav,3+2+7e.bmp,2874,TRUE,
1183,3,1,7,100,x,x,,2+3+4,x,-1, 95.wav,2+3+4e.bmp,3754,TRUE,
1183,3,1,8,180,x,x,,8+1+2,x,-1, 96.wav,8+1+2e.bmp,4644,TRUE,
1183,3,1,9,101,x,x,,6+3+2,x,-1, 97.wav,6+3+2e.bmp,1653,TRUE,
1183,3,1,10,103,x,x,,2+9+1,x,-1, 98.wav,2+9+1e.bmp,1704,TRUE,
1183,3,1,11,89,x,x,,2+4+6,x,-1, 99.wav,2+4+6e.bmp,3173,TRUE,
1183,3,1,12,96,x,x,,6+2+1,x,-1, 100.wav,6+2+1e.bmp,2284,TRUE,
1183,3,1,13,102,x,x,,4+1+5,x,-1, 101.wav,4+1+5e.bmp,2075,TRUE,
1183,3,1,14,97,x,x,,5+3+2,x,-1, 102.wav,5+3+2e.bmp,1634,TRUE,
1183,3,1,15,87,x,x,,4+3+6,x,-1, 103.wav,4+3+6e.bmp,223,TRUE,
1183,3,1,0,104,x,x,,x,inst,1,1,fin.bmp,23062,TRUE,
1183,3,2,0,105,x,x,,x,inst,1,1,getready.bmp,685,TRUE,
1183,3,2,1,109,x,x,,x,x,-1, 106.wav,1.bmp,474,TRUE,
1183,3,2,2,106,x,x,,x,x,-1, 107.wav,5.bmp,624,TRUE,
1183,3,2,3,107,x,x,,x,x,-1, 108.wav,9.bmp,454,TRUE,
1183,3,2,4,108,x,x,,x,x,-1, 109.wav,13.bmp,454,TRUE,
1183,3,2,0,110,x,x,,x,inst,1,1,fin.bmp,7101,TRUE,
1183,3,3,0,111,x,x,,x,inst,1,1,getready.bmp,713,TRUE,
1183,3,3,1,154,1+3+2,6,0,6,TRUE,-1, 112.wav,6.bmp,433,TRUE,1
1183,3,3,2,169,1+2+3,6,0,6,TRUE,-1, 113.wav,6.bmp,614,TRUE,1
1183,3,3,3,140,1+3+2,6,0,6,TRUE,-1, 114.wav,6.bmp,654,TRUE,1
1183,3,3,4,174,1+2+3,6,0,6,TRUE,-1, 115.wav,6.bmp,594,TRUE,1
1183,3,3,5,119,2+1+3,6,-2,8,FALSE,-1, 116.wav,8.bmp,464,TRUE,1
1183,3,3,6,151,3+2+1,6,-4,10,FALSE,-1, 117.wav,10.bmp,474,TRUE,1
1183,3,3,7,114,2+3+1,6,-2,8,FALSE,-1, 118.wav,8.bmp,534,TRUE,1
1183,3,3,8,161,3+1+2,6,-4,10,FALSE,-1, 119.wav,10.bmp,554,TRUE,1
1183,3,3,9,175,4+2+1,7,0,7,TRUE,-1, 120.wav,7.bmp,594,TRUE,1
1183,3,3,10,171,1+4+2,7,0,7,TRUE,-1, 121.wav,7.bmp,594,TRUE,1
1183,3,3,11,137,4+2+1,7,0,7,TRUE,-1, 122.wav,7.bmp,534,TRUE,1
1183,3,3,12,156,1+4+2,7,0,7,TRUE,-1, 123.wav,7.bmp,523,TRUE,1
1183,3,3,13,118,1+2+4,7,-4,11,FALSE,-1, 124.wav,11.bmp,624,TRUE,1
1183,3,3,14,134,2+4+1,7,-2,9,FALSE,-1, 125.wav,9.bmp,464,TRUE,1
1183,3,3,15,159,2+1+4,7,-4,11,FALSE,-1, 126.wav,11.bmp,464,TRUE,1
1183,3,3,16,149,4+1+2,7,-2,9,FALSE,-1, 127.wav,9.bmp,664,TRUE,1
1183,3,3,17,157,5+2+1,8,0,8,TRUE,-1, 128.wav,8.bmp,464,TRUE,1
1183,3,3,18,129,5+1+2,8,0,8,TRUE,-1, 129.wav,8.bmp,505,TRUE,1
1183,3,3,19,126,3+1+4,8,2,6,FALSE,-1, 130.wav,6.bmp,584,TRUE,1
