"","subj","subjective","paymant","run29.12","age","gender","sat","motivati","con1","con2","con3","con4","pcorect","meanrtal","eror1","eror2","eror3","eror4","filter_$","corefect","incefect","er1me2","er3me4","erorrall","objecti2","effsize1","effsize2","er1er2","er3ande4","con1a","con2a","con3a","con4a","objectiv","OT_Filter","Error_rate_filter","cieling_Filter","cieling_Filter_on_error1","cieling_Filter_on_error2","objecctive_subjective_filter"
"1",1,0,0,0,32,1,5,5,852.7826087,827.3913043,966.2765957,922.5957447,0.979166667,892.8225806,0.958333333,0.958333333,1,1,1,-4.742029,2.4139265,0,0,0.979166667,-0.020833333,-0.00541585681105619,0.0027569380694243,0.958333333,1,0.950376933768159,0.944961076957103,1.05093683895829,1.05369377702771,0.4791667,1,1,1,1,1,1
"2",2,0,0,0,20,0,5,7,1811.234043,1431.577778,2115.065217,2037.617021,0.989528796,1851.945946,1,0.979166667,0.979166667,1,1,-379.656265,2.08982600000013,0.020833333,-0.020833333,0.989583333,-0.0625,-0.217490337475938,0.00119718019668665,0.9895833335,0.9895833335,1.03758567835033,0.820095340874391,1.07298263743222,1.07417981762891,0.4375,1,1,0,0,1,1
"3",4,0,0,0,22,0,3,6,1230.422222,1204.340426,1313.288889,1324.978261,0.968586387,1267.868852,0.958333333,0.979166667,0.9375,1,1,6.96157699999981,77.6991909999999,-0.020833334,-0.0625,0.96875,-0.0625,0.00566375078349399,0.0632139605585216,0.96875,0.96875,0.949647763873128,0.955311514656622,1.01475252086537,1.07796648142389,0.4375,1,1,1,1,1,1
"4",5,0,0,0,26,1,5,5,904.9148936,921.0454545,1055.311111,1109.195652,0.963350785,997.6318681,0.979166667,0.9375,0.958333333,0.979166667,0,10.2621951,43.772727,0.041666667,-0.020833334,0.963541667,0.104166667,0.0107283512650184,0.0457610858600571,0.9583333335,0.96875,0.88364514788428,0.894373499149298,1.0845092304406,1.13027031630065,0.6041667,0,1,1,1,1,0
"5",6,0,0,0,23,0,3,6,1002.25,944.1136364,1092.311111,1074.673913,0.97382199,1028.622951,1,0.9375,0.979166667,0.979166667,1,-45.5672147,-29.0222220000001,0.0625,0,0.973958333,0.083333333,-0.0445680049319072,-0.0283858151468474,0.96875,0.979166667,0.9679788712835,0.923410866351593,1.06835862807794,1.03997281293109,0.5833333,1,1,0,0,1,1
"6",7,0,0,0,30,1,4,7,1340.361702,1311.377778,1341.340426,1370.391304,0.979057592,1341.027027,0.979166667,0.9375,1,1,1,-50.4833159999998,-16.9767899999999,0.041666667,0,0.979166667,0.0625,-0.0385223426403171,-0.012954492159602,0.9583333335,1,1.00094978350019,0.962427440859872,1.02353766713108,1.01058317497148,0.5625,1,1,1,1,1,1
"7",8,0,0,0,21,0,2,5,1052.782609,991.3953488,1114.727273,1111.76087,0.942408377,1068.418994,0.958333333,0.895833333,0.958333333,0.958333333,1,-63.6444446999999,-32.6839319999999,0.0625,0,0.942708333,0,-0.0615274068546832,-0.0315967495867679,0.927083333,0.958333333,0.9899166793604,0.928389272505717,1.05576617198896,1.02416942240219,0.5,1,1,1,1,1,1
"8",11,0,0,0,22,0,5,4,992.4468085,978,987.5869565,1103.422222,0.97382199,1014.76087,0.979166667,0.979166667,0.979166667,0.958333333,1,-13.6908212999999,88.8126982,0,0.020833334,0.973958333,0.0625,-0.0138478937574396,0.0898316311370709,0.979166667,0.96875,0.983063636062348,0.969215742304908,0.981510756520852,1.07134238765792,0.5625,1,1,1,1,1,1
"9",12,0,0,0,19,0,5,7,1251.652174,1239.8125,1442.782609,1388.76087,0.994764398,1329.774194,1,1,1,0.979166667,0,-9.3803620000001,-90.95,0,0.020833333,0.994791667,0.041666667,-0.00782182935910703,-0.0758387981413486,1,0.9895833335,0.891852708959827,0.88403087960072,1.14838034964558,1.07254155150423,0.5416667,1,1,0,0,0,1
"10",13,0,0,0,30,0,3,6,1371.680851,1390.829787,1587.243902,1537.071429,0.937172775,1465.943503,0.979166667,0.979166667,0.895833333,0.895833333,1,18.8478259999999,-16.3270790000001,0,0,0.9375,0.020833333,0.0132100522052093,-0.0114433126636769,0.979166667,0.895833333,0.941555236018426,0.954765288223635,1.06548039564387,1.0540370829802,0.5208333,1,1,1,1,1,1
"11",14,0,0,0,19,0,3,6,1440,1397.44186,1520.555556,1503.893617,0.963350785,1466.362637,0.979166667,0.9375,0.958333333,0.979166667,0,-91.8218460000001,57.9772349999998,0.041666667,-0.020833334,0.963541667,0.1875,-0.0663017891604854,0.0418636150168219,0.9583333335,0.96875,1.01469654528858,0.948394756128098,0.994836177919676,1.0366997929365,0.6875,0,1,1,1,1,0
